x/h,node_label,x,y,PGA_h,PGA_v,PGA_h_smooth,PGA_v_smooth,peak_h_frame,peak_h_time,peak_v_frame,peak_v_time
0.000000,1,0.000000,300.000000,0.062844,0.014059,0.062844,0.014059,108,2.160000,118,2.360000
0.100000,27,10.000000,300.000000,0.061532,0.019193,0.061532,0.019193,108,2.160000,129,2.580000
0.200000,53,20.000000,300.000000,0.061209,0.021210,0.061209,0.021210,108,2.160000,130,2.600000
0.300000,79,30.000000,300.000000,0.061174,0.022936,0.061174,0.022936,108,2.160000,130,2.600000
0.400000,105,40.000000,300.000000,0.061192,0.024045,0.061192,0.024045,108,2.160000,130,2.600000
0.500000,131,50.000000,300.000000,0.061212,0.024490,0.061212,0.024490,108,2.160000,130,2.600000
0.600000,157,60.000000,300.000000,0.061246,0.024400,0.061246,0.024400,108,2.160000,130,2.600000
0.700000,183,70.000000,300.000000,0.061305,0.023931,0.061305,0.023931,108,2.160000,130,2.600000
0.800000,209,80.000000,300.000000,0.061915,0.023237,0.061915,0.023237,109,2.180000,130,2.600000
0.900000,235,90.000000,300.000000,0.062463,0.022431,0.062463,0.022431,109,2.180000,130,2.600000
1.000000,261,100.000000,300.000000,0.062937,0.021578,0.062937,0.021578,109,2.180000,130,2.600000
1.100000,287,110.000000,300.000000,0.063336,0.020704,0.063336,0.020704,109,2.180000,130,2.600000
1.200000,313,120.000000,300.000000,0.063661,0.019822,0.063661,0.019822,109,2.180000,130,2.600000
1.300000,339,130.000000,300.000000,0.063914,0.018943,0.063914,0.018943,109,2.180000,130,2.600000
1.400000,365,140.000000,300.000000,0.064105,0.018084,0.064105,0.018084,109,2.180000,130,2.600000
1.500000,391,150.000000,300.000000,0.064247,0.018370,0.064247,0.018370,109,2.180000,131,2.620000
1.600000,417,160.000000,300.000000,0.064354,0.018563,0.064354,0.018563,109,2.180000,131,2.620000
1.700000,443,170.000000,300.000000,0.064438,0.018565,0.064438,0.018565,109,2.180000,131,2.620000
1.800000,469,180.000000,300.000000,0.064508,0.018362,0.064508,0.018362,109,2.180000,131,2.620000
1.900000,495,190.000000,300.000000,0.064646,0.017945,0.064646,0.017945,118,2.360000,131,2.620000
2.000000,521,200.000000,300.000000,0.064940,0.017311,0.064940,0.017311,118,2.360000,131,2.620000
2.100000,547,210.000000,300.000000,0.065953,0.016462,0.065953,0.016462,131,2.620000,131,2.620000
2.200000,573,220.000000,300.000000,0.067062,0.015409,0.067062,0.015409,131,2.620000,131,2.620000
2.300000,599,230.000000,300.000000,0.068028,0.014179,0.068028,0.014179,131,2.620000,131,2.620000
2.400000,625,240.000000,300.000000,0.068893,0.012821,0.068893,0.012821,131,2.620000,131,2.620000
2.500000,651,250.000000,300.000000,0.069698,0.011409,0.069698,0.011409,131,2.620000,131,2.620000
2.600000,677,260.000000,300.000000,0.070471,0.010043,0.070471,0.010043,131,2.620000,131,2.620000
2.700000,703,270.000000,300.000000,0.071229,0.009617,0.071229,0.009617,131,2.620000,109,2.180000
2.800000,729,280.000000,300.000000,0.071966,0.009659,0.071966,0.009659,131,2.620000,109,2.180000
2.900000,755,290.000000,300.000000,0.072658,0.009794,0.072658,0.009794,131,2.620000,109,2.180000
3.000000,781,300.000000,300.000000,0.073223,0.010504,0.073223,0.010504,131,2.620000,251,5.020000
3.071429,807,307.142853,292.857147,0.072177,0.011374,0.072177,0.011374,131,2.620000,132,2.640000
3.214286,859,321.428558,278.571442,0.066645,0.015005,0.066645,0.015005,131,2.620000,132,2.640000
3.285714,885,328.571442,271.428558,0.063501,0.016716,0.063501,0.016716,109,2.180000,132,2.640000
3.357143,911,335.714294,264.285706,0.062352,0.018115,0.062352,0.018115,109,2.180000,132,2.640000
3.500000,963,350.000000,250.000000,0.059510,0.019446,0.059510,0.019446,109,2.180000,132,2.640000
3.571429,989,357.142853,242.857147,0.057856,0.019222,0.057856,0.019222,109,2.180000,132,2.640000
3.714286,1041,371.428558,228.571426,0.054675,0.017001,0.054675,0.017001,108,2.160000,132,2.640000
3.785714,1067,378.571442,221.428574,0.053450,0.016425,0.053450,0.016425,108,2.160000,133,2.660000
3.857143,1093,385.714294,214.285721,0.052087,0.016006,0.052087,0.016006,108,2.160000,133,2.660000
4.000000,1145,400.000000,200.000000,0.048628,0.013669,0.048628,0.013669,108,2.160000,133,2.660000
4.105263,1171,410.526306,200.000000,0.047187,0.013012,0.047187,0.013012,108,2.160000,134,2.680000
4.210526,1197,421.052643,200.000000,0.046576,0.011767,0.046576,0.011767,108,2.160000,134,2.680000
4.315789,1223,431.578949,200.000000,0.046132,0.011060,0.046132,0.011060,108,2.160000,135,2.700000
4.421053,1249,442.105255,200.000000,0.045774,0.010811,0.045774,0.010811,108,2.160000,135,2.700000
4.526316,1275,452.631592,200.000000,0.046478,0.011309,0.046478,0.011309,129,2.580000,136,2.720000
4.631579,1301,463.157898,200.000000,0.048182,0.012306,0.048182,0.012306,129,2.580000,136,2.720000
4.736842,1327,473.684204,200.000000,0.049610,0.014015,0.049610,0.014015,129,2.580000,137,2.740000
4.842105,1353,484.210541,200.000000,0.050783,0.015588,0.050783,0.015588,129,2.580000,137,2.740000
4.947368,1379,494.736847,200.000000,0.051719,0.016676,0.051719,0.016676,129,2.580000,137,2.740000
4.956303,1380,495.630310,192.000000,0.050483,0.016620,0.050483,0.016620,129,2.580000,137,2.740000
5.052632,1405,505.263153,200.000000,0.052438,0.017277,0.052438,0.017277,129,2.580000,137,2.740000
5.157895,1431,515.789490,200.000000,0.052955,0.017403,0.052955,0.017403,129,2.580000,137,2.740000
5.263158,1457,526.315796,200.000000,0.053280,0.017419,0.053280,0.017419,129,2.580000,138,2.760000
5.368421,1483,536.842102,200.000000,0.053418,0.017906,0.053418,0.017906,129,2.580000,138,2.760000
5.473684,1509,547.368408,200.000000,0.053853,0.018088,0.053853,0.018088,130,2.600000,138,2.760000
5.578947,1535,557.894714,200.000000,0.054775,0.017999,0.054775,0.017999,130,2.600000,138,2.760000
5.684211,1561,568.421082,200.000000,0.055676,0.017681,0.055676,0.017681,130,2.600000,138,2.760000
5.789474,1587,578.947388,200.000000,0.056572,0.018165,0.056572,0.018165,130,2.600000,139,2.780000
5.894737,1613,589.473694,200.000000,0.057467,0.018486,0.057467,0.018486,130,2.600000,139,2.780000
6.000000,1639,600.000000,200.000000,0.058353,0.018318,0.058353,0.018318,130,2.600000,139,2.780000
6.105263,1665,610.526306,200.000000,0.059209,0.017603,0.059209,0.017603,130,2.600000,139,2.780000
6.210526,1691,621.052612,200.000000,0.060001,0.016319,0.060001,0.016319,130,2.600000,139,2.780000
6.315789,1717,631.578918,200.000000,0.060687,0.014503,0.060687,0.014503,130,2.600000,139,2.780000
6.421053,1743,642.105286,200.000000,0.061221,0.013208,0.061221,0.013208,130,2.600000,250,5.000000
6.526316,1769,652.631592,200.000000,0.061556,0.012657,0.061556,0.012657,130,2.600000,250,5.000000
6.631579,1795,663.157898,200.000000,0.061657,0.011794,0.061657,0.011794,130,2.600000,250,5.000000
6.736842,1821,673.684204,200.000000,0.061497,0.012353,0.061497,0.012353,130,2.600000,108,2.160000
6.842105,1847,684.210510,200.000000,0.061059,0.012913,0.061059,0.012913,130,2.600000,108,2.160000
6.947368,1873,694.736816,200.000000,0.060330,0.013589,0.060330,0.013589,130,2.600000,118,2.360000
6.950449,1874,695.044922,192.000000,0.060065,0.013612,0.060065,0.013612,130,2.600000,118,2.360000
7.052632,1899,705.263184,200.000000,0.059298,0.014660,0.059298,0.014660,130,2.600000,118,2.360000
7.157895,1925,715.789490,200.000000,0.057947,0.015583,0.057947,0.015583,130,2.600000,118,2.360000
7.263158,1951,726.315796,200.000000,0.056260,0.016344,0.056260,0.016344,130,2.600000,118,2.360000
7.368421,1977,736.842102,200.000000,0.054245,0.016955,0.054245,0.016955,130,2.600000,118,2.360000
7.473684,2003,747.368408,200.000000,0.051949,0.017433,0.051949,0.017433,130,2.600000,118,2.360000
7.578947,2029,757.894714,200.000000,0.049495,0.017815,0.049495,0.017815,130,2.600000,118,2.360000
7.684211,2055,768.421082,200.000000,0.047080,0.018062,0.047080,0.018062,130,2.600000,118,2.360000
7.789474,2081,778.947388,200.000000,0.046120,0.019014,0.046120,0.019014,109,2.180000,126,2.520000
7.894737,2107,789.473694,200.000000,0.046097,0.019716,0.046097,0.019716,109,2.180000,126,2.520000
8.000000,2133,800.000000,200.000000,0.046883,0.021648,0.046883,0.021648,109,2.180000,126,2.520000
