x/h,node_label,x,y,PGA_h,PGA_v,PGA_h_smooth,PGA_v_smooth,peak_h_frame,peak_h_time,peak_v_frame,peak_v_time
0.000000,1,0.000000,300.000000,0.053773,0.014492,0.053773,0.014492,648,6.480000,649,6.490000
0.100000,27,10.000000,300.000000,0.053935,0.014285,0.053935,0.014285,648,6.480000,649,6.490000
0.200000,53,20.000000,300.000000,0.053309,0.015363,0.053309,0.015363,649,6.490000,573,5.730000
0.300000,79,30.000000,300.000000,0.053102,0.017008,0.053102,0.017008,649,6.490000,573,5.730000
0.400000,105,40.000000,300.000000,0.052872,0.018306,0.052872,0.018306,649,6.490000,572,5.720000
0.500000,131,50.000000,300.000000,0.052675,0.019409,0.052675,0.019409,649,6.490000,572,5.720000
0.600000,157,60.000000,300.000000,0.052986,0.019665,0.052986,0.019665,559,5.590000,572,5.720000
0.700000,183,70.000000,300.000000,0.053368,0.019048,0.053368,0.019048,559,5.590000,572,5.720000
0.800000,209,80.000000,300.000000,0.054029,0.018746,0.054029,0.018746,560,5.600000,571,5.710000
0.900000,235,90.000000,300.000000,0.055185,0.018486,0.055185,0.018486,560,5.600000,570,5.700000
1.000000,261,100.000000,300.000000,0.056429,0.019057,0.056429,0.019057,560,5.600000,569,5.690000
1.100000,287,110.000000,300.000000,0.057846,0.020064,0.057846,0.020064,650,6.500000,569,5.690000
1.200000,313,120.000000,300.000000,0.059515,0.020411,0.059515,0.020411,650,6.500000,569,5.690000
1.300000,339,130.000000,300.000000,0.061476,0.021069,0.061476,0.021069,651,6.510000,568,5.680000
1.400000,365,140.000000,300.000000,0.063242,0.021157,0.063242,0.021157,651,6.510000,568,5.680000
1.500000,391,150.000000,300.000000,0.064722,0.020571,0.064722,0.020571,651,6.510000,568,5.680000
1.600000,417,160.000000,300.000000,0.065912,0.019433,0.065912,0.019433,651,6.510000,568,5.680000
1.700000,443,170.000000,300.000000,0.066841,0.019039,0.066841,0.019039,651,6.510000,560,5.600000
1.800000,469,180.000000,300.000000,0.067565,0.019653,0.067565,0.019653,651,6.510000,560,5.600000
1.900000,495,190.000000,300.000000,0.068165,0.019702,0.068165,0.019702,651,6.510000,560,5.600000
2.000000,521,200.000000,300.000000,0.068723,0.019115,0.068723,0.019115,651,6.510000,560,5.600000
2.100000,547,210.000000,300.000000,0.069316,0.018990,0.069316,0.018990,651,6.510000,587,5.870000
2.200000,573,220.000000,300.000000,0.069996,0.018597,0.069996,0.018597,651,6.510000,587,5.870000
2.300000,599,230.000000,300.000000,0.070784,0.017642,0.070784,0.017642,651,6.510000,587,5.870000
2.400000,625,240.000000,300.000000,0.071665,0.016155,0.071665,0.016155,651,6.510000,587,5.870000
2.500000,651,250.000000,300.000000,0.072599,0.014606,0.072599,0.014606,651,6.510000,586,5.860000
2.600000,677,260.000000,300.000000,0.073529,0.012885,0.073529,0.012885,651,6.510000,586,5.860000
2.700000,703,270.000000,300.000000,0.074392,0.010844,0.074392,0.010844,651,6.510000,586,5.860000
2.800000,729,280.000000,300.000000,0.075135,0.010187,0.075135,0.010187,651,6.510000,651,6.510000
2.900000,755,290.000000,300.000000,0.075715,0.010484,0.075715,0.010484,651,6.510000,651,6.510000
3.000000,781,300.000000,300.000000,0.076084,0.011300,0.076084,0.011300,651,6.510000,652,6.520000
3.071429,807,307.142853,292.857147,0.075325,0.012009,0.075325,0.012009,651,6.510000,652,6.520000
3.214286,859,321.428558,278.571442,0.072055,0.014123,0.072055,0.014123,651,6.510000,608,6.080000
3.285714,885,328.571442,271.428558,0.069443,0.015020,0.069443,0.015020,651,6.510000,608,6.080000
3.357143,911,335.714294,264.285706,0.066214,0.015687,0.066214,0.015687,651,6.510000,653,6.530000
3.500000,963,350.000000,250.000000,0.058189,0.017390,0.058189,0.017390,651,6.510000,653,6.530000
3.571429,989,357.142853,242.857147,0.054014,0.017859,0.054014,0.017859,650,6.500000,653,6.530000
3.714286,1041,371.428558,228.571426,0.046721,0.018856,0.046721,0.018856,650,6.500000,564,5.640000
3.785714,1067,378.571442,221.428574,0.044412,0.018797,0.044412,0.018797,481,4.810000,564,5.640000
3.857143,1093,385.714294,214.285721,0.043399,0.017954,0.043399,0.017954,481,4.810000,564,5.640000
4.000000,1145,400.000000,200.000000,0.043009,0.014328,0.043009,0.014328,556,5.560000,565,5.650000
4.105263,1171,410.526306,200.000000,0.044631,0.012391,0.044631,0.012391,556,5.560000,656,6.560000
4.210526,1197,421.052643,200.000000,0.045244,0.012101,0.045244,0.012101,557,5.570000,657,6.570000
4.315789,1223,431.578949,200.000000,0.046080,0.012185,0.046080,0.012185,647,6.470000,658,6.580000
4.421053,1249,442.105255,200.000000,0.047243,0.012455,0.047243,0.012455,647,6.470000,598,5.980000
4.526316,1275,452.631592,200.000000,0.048286,0.013068,0.048286,0.013068,648,6.480000,598,5.980000
4.631579,1301,463.157898,200.000000,0.049362,0.013419,0.049362,0.013419,648,6.480000,599,5.990000
4.736842,1327,473.684204,200.000000,0.050377,0.014035,0.050377,0.014035,648,6.480000,660,6.600000
4.842105,1353,484.210541,200.000000,0.051307,0.014519,0.051307,0.014519,648,6.480000,661,6.610000
4.947368,1379,494.736847,200.000000,0.052128,0.015117,0.052128,0.015117,648,6.480000,661,6.610000
4.956303,1380,495.630310,192.000000,0.051429,0.015177,0.051429,0.015177,648,6.480000,661,6.610000
5.052632,1405,505.263153,200.000000,0.052823,0.016199,0.052823,0.016199,648,6.480000,566,5.660000
5.157895,1431,515.789490,200.000000,0.053388,0.016643,0.053388,0.016643,648,6.480000,566,5.660000
5.263158,1457,526.315796,200.000000,0.053832,0.016710,0.053832,0.016710,648,6.480000,559,5.590000
5.368421,1483,536.842102,200.000000,0.054177,0.017733,0.054177,0.017733,648,6.480000,603,6.030000
5.473684,1509,547.368408,200.000000,0.054443,0.018816,0.054443,0.018816,648,6.480000,603,6.030000
5.578947,1535,557.894714,200.000000,0.054651,0.019571,0.054651,0.019571,648,6.480000,603,6.030000
5.684211,1561,568.421082,200.000000,0.054808,0.020271,0.054808,0.020271,648,6.480000,604,6.040000
5.789474,1587,578.947388,200.000000,0.054914,0.020548,0.054914,0.020548,648,6.480000,604,6.040000
5.894737,1613,589.473694,200.000000,0.055149,0.020296,0.055149,0.020296,649,6.490000,604,6.040000
6.000000,1639,600.000000,200.000000,0.055596,0.019521,0.055596,0.019521,649,6.490000,604,6.040000
6.105263,1665,610.526306,200.000000,0.055968,0.018272,0.055968,0.018272,649,6.490000,604,6.040000
6.210526,1691,621.052612,200.000000,0.056254,0.016870,0.056254,0.016870,649,6.490000,605,6.050000
6.315789,1717,631.578918,200.000000,0.056440,0.015409,0.056440,0.015409,649,6.490000,605,6.050000
6.421053,1743,642.105286,200.000000,0.057131,0.013686,0.057131,0.013686,559,5.590000,605,6.050000
6.526316,1769,652.631592,200.000000,0.057583,0.012220,0.057583,0.012220,559,5.590000,606,6.060000
6.631579,1795,663.157898,200.000000,0.057566,0.012277,0.057566,0.012277,559,5.590000,649,6.490000
6.736842,1821,673.684204,200.000000,0.057111,0.012941,0.057111,0.012941,559,5.590000,650,6.500000
6.842105,1847,684.210510,200.000000,0.056290,0.013818,0.056290,0.013818,559,5.590000,650,6.500000
6.947368,1873,694.736816,200.000000,0.055202,0.014627,0.055202,0.014627,559,5.590000,650,6.500000
6.950449,1874,695.044922,192.000000,0.055082,0.014674,0.055082,0.014674,559,5.590000,650,6.500000
7.052632,1899,705.263184,200.000000,0.054454,0.015329,0.054454,0.015329,650,6.500000,650,6.500000
