x/h,node_label,x,y,PGA_h,PGA_v,PGA_h_smooth,PGA_v_smooth,peak_h_frame,peak_h_time,peak_v_frame,peak_v_time
0.000000,1,0.000000,300.000000,0.054454,0.014854,0.054454,0.014854,827,8.270000,826,8.260000
0.100000,27,10.000000,300.000000,0.055867,0.013827,0.055867,0.013827,827,8.270000,826,8.260000
0.200000,53,20.000000,300.000000,0.057142,0.013270,0.057142,0.013270,827,8.270000,825,8.250000
0.300000,79,30.000000,300.000000,0.058301,0.013330,0.058301,0.013330,827,8.270000,829,8.290000
0.400000,105,40.000000,300.000000,0.059401,0.013425,0.059401,0.013425,827,8.270000,829,8.290000
0.500000,131,50.000000,300.000000,0.060457,0.013443,0.060457,0.013443,827,8.270000,828,8.280000
0.600000,157,60.000000,300.000000,0.061476,0.013663,0.061476,0.013663,827,8.270000,827,8.270000
0.700000,183,70.000000,300.000000,0.062476,0.013969,0.062476,0.013969,827,8.270000,827,8.270000
0.800000,209,80.000000,300.000000,0.063476,0.014266,0.063476,0.014266,827,8.270000,826,8.260000
0.900000,235,90.000000,300.000000,0.064638,0.014554,0.064638,0.014554,828,8.280000,826,8.260000
1.000000,261,100.000000,300.000000,0.066074,0.014720,0.066074,0.014720,828,8.280000,826,8.260000
1.100000,287,110.000000,300.000000,0.067572,0.014905,0.067572,0.014905,828,8.280000,827,8.270000
1.200000,313,120.000000,300.000000,0.069094,0.015106,0.069094,0.015106,828,8.280000,827,8.270000
1.300000,339,130.000000,300.000000,0.070598,0.015330,0.070598,0.015330,828,8.280000,827,8.270000
1.400000,365,140.000000,300.000000,0.072049,0.015579,0.072049,0.015579,828,8.280000,827,8.270000
1.500000,391,150.000000,300.000000,0.073417,0.015942,0.073417,0.015942,828,8.280000,828,8.280000
1.600000,417,160.000000,300.000000,0.074683,0.016311,0.074683,0.016311,828,8.280000,828,8.280000
1.700000,443,170.000000,300.000000,0.075835,0.016549,0.075835,0.016549,828,8.280000,828,8.280000
1.800000,469,180.000000,300.000000,0.076869,0.016617,0.076869,0.016617,828,8.280000,828,8.280000
1.900000,495,190.000000,300.000000,0.077787,0.016486,0.077787,0.016486,828,8.280000,828,8.280000
2.000000,521,200.000000,300.000000,0.078599,0.016253,0.078599,0.016253,828,8.280000,827,8.270000
2.100000,547,210.000000,300.000000,0.079320,0.015927,0.079320,0.015927,828,8.280000,827,8.270000
2.200000,573,220.000000,300.000000,0.079972,0.015419,0.079972,0.015419,828,8.280000,827,8.270000
2.300000,599,230.000000,300.000000,0.080581,0.014729,0.080581,0.014729,828,8.280000,827,8.270000
2.400000,625,240.000000,300.000000,0.081174,0.013872,0.081174,0.013872,828,8.280000,827,8.270000
2.500000,651,250.000000,300.000000,0.081776,0.012883,0.081776,0.012883,828,8.280000,827,8.270000
2.600000,677,260.000000,300.000000,0.082401,0.011815,0.082401,0.011815,828,8.280000,827,8.270000
2.700000,703,270.000000,300.000000,0.083047,0.010745,0.083047,0.010745,828,8.280000,827,8.270000
2.800000,729,280.000000,300.000000,0.083689,0.009775,0.083689,0.009775,828,8.280000,827,8.270000
2.900000,755,290.000000,300.000000,0.084291,0.009884,0.084291,0.009884,829,8.290000,832,8.320000
3.000000,781,300.000000,300.000000,0.084731,0.010948,0.084731,0.010948,829,8.290000,831,8.310000
3.071429,807,307.142853,292.857147,0.084038,0.011830,0.084038,0.011830,828,8.280000,831,8.310000
