子图,系列,x,y
子图1：(a) P061 全域几何、材料与边界,自由地表,0,400
子图1：(a) P061 全域几何、材料与边界,自由地表,0.7987781709,400
子图1：(a) P061 全域几何、材料与边界,自由地表,1.597556342,400
子图1：(a) P061 全域几何、材料与边界,自由地表,2.396334513,400
子图1：(a) P061 全域几何、材料与边界,自由地表,3.195112684,400
子图1：(a) P061 全域几何、材料与边界,自由地表,3.993890855,400
子图1：(a) P061 全域几何、材料与边界,自由地表,4.792669025,400
子图1：(a) P061 全域几何、材料与边界,自由地表,5.591447196,400
子图1：(a) P061 全域几何、材料与边界,自由地表,6.390225367,400
子图1：(a) P061 全域几何、材料与边界,自由地表,7.189003538,400
子图1：(a) P061 全域几何、材料与边界,自由地表,7.987781709,400
子图1：(a) P061 全域几何、材料与边界,自由地表,8.78655988,400
子图1：(a) P061 全域几何、材料与边界,自由地表,9.585338051,400
子图1：(a) P061 全域几何、材料与边界,自由地表,10.38411622,400
子图1：(a) P061 全域几何、材料与边界,自由地表,11.18289439,400
子图1：(a) P061 全域几何、材料与边界,自由地表,11.98167256,400
子图1：(a) P061 全域几何、材料与边界,自由地表,12.78045073,400
子图1：(a) P061 全域几何、材料与边界,自由地表,13.57922891,400
子图1：(a) P061 全域几何、材料与边界,自由地表,14.37800708,400
子图1：(a) P061 全域几何、材料与边界,自由地表,15.17678525,400
子图1：(a) P061 全域几何、材料与边界,自由地表,15.97556342,400
子图1：(a) P061 全域几何、材料与边界,自由地表,16.77434159,400
子图1：(a) P061 全域几何、材料与边界,自由地表,17.57311976,400
子图1：(a) P061 全域几何、材料与边界,自由地表,18.37189793,400
子图1：(a) P061 全域几何、材料与边界,自由地表,19.1706761,400
子图1：(a) P061 全域几何、材料与边界,自由地表,19.96945427,400
子图1：(a) P061 全域几何、材料与边界,自由地表,20.76823244,400
子图1：(a) P061 全域几何、材料与边界,自由地表,21.56701061,400
子图1：(a) P061 全域几何、材料与边界,自由地表,22.36578879,400
子图1：(a) P061 全域几何、材料与边界,自由地表,23.16456696,400
子图1：(a) P061 全域几何、材料与边界,自由地表,23.96334513,400
子图1：(a) P061 全域几何、材料与边界,自由地表,24.7621233,400
子图1：(a) P061 全域几何、材料与边界,自由地表,25.56090147,400
子图1：(a) P061 全域几何、材料与边界,自由地表,26.35967964,400
子图1：(a) P061 全域几何、材料与边界,自由地表,27.15845781,400
子图1：(a) P061 全域几何、材料与边界,自由地表,27.95723598,400
子图1：(a) P061 全域几何、材料与边界,自由地表,28.75601415,400
子图1：(a) P061 全域几何、材料与边界,自由地表,29.55479232,400
子图1：(a) P061 全域几何、材料与边界,自由地表,30.35357049,400
子图1：(a) P061 全域几何、材料与边界,自由地表,31.15234867,400
子图1：(a) P061 全域几何、材料与边界,自由地表,31.95112684,400
子图1：(a) P061 全域几何、材料与边界,自由地表,32.74990501,400
子图1：(a) P061 全域几何、材料与边界,自由地表,33.54868318,400
子图1：(a) P061 全域几何、材料与边界,自由地表,34.34746135,400
子图1：(a) P061 全域几何、材料与边界,自由地表,35.14623952,400
子图1：(a) P061 全域几何、材料与边界,自由地表,35.94501769,400
