子图,系列,x,y
子图1：(a) 坡顶复频响幅值,P061,0.5,1.01504007
子图1：(a) 坡顶复频响幅值,P061,0.6,1.027016925
子图1：(a) 坡顶复频响幅值,P061,0.7,1.044153374
子图1：(a) 坡顶复频响幅值,P061,0.8,1.07200929
子图1：(a) 坡顶复频响幅值,P061,0.9,1.123001498
子图1：(a) 坡顶复频响幅值,P061,1,1.227090974
子图1：(a) 坡顶复频响幅值,P061,1.1,1.423001855
子图1：(a) 坡顶复频响幅值,P061,1.2,1.617211414
子图1：(a) 坡顶复频响幅值,P061,1.3,1.622532648
子图1：(a) 坡顶复频响幅值,P061,1.4,1.554918951
子图1：(a) 坡顶复频响幅值,P061,1.5,1.522742822
子图1：(a) 坡顶复频响幅值,P061,1.6,1.555042725
子图1：(a) 坡顶复频响幅值,P061,1.7,1.694005341
子图1：(a) 坡顶复频响幅值,P061,1.8,1.927758708
子图1：(a) 坡顶复频响幅值,P061,1.9,2.015197433
子图1：(a) 坡顶复频响幅值,P061,2,1.867075266
子图1：(a) 坡顶复频响幅值,P061,2.1,1.665462268
子图1：(a) 坡顶复频响幅值,P061,2.2,1.474901574
子图1：(a) 坡顶复频响幅值,P061,2.3,1.278806627
子图1：(a) 坡顶复频响幅值,P061,2.4,1.222823596
子图1：(a) 坡顶复频响幅值,P061,2.5,1.23834253
子图1：(a) 坡顶复频响幅值,P061,2.6,1.189975353
子图1：(a) 坡顶复频响幅值,P061,2.7,1.090835969
子图1：(a) 坡顶复频响幅值,P061,2.8,1.101393815
子图1：(a) 坡顶复频响幅值,P061,2.9,1.161761334
子图1：(a) 坡顶复频响幅值,P061,3,1.127185961
子图1：(a) 坡顶复频响幅值,P061,3.1,1.00408766
子图1：(a) 坡顶复频响幅值,P061,3.2,0.9504109657
子图1：(a) 坡顶复频响幅值,P061,3.3,0.9662423981
子图1：(a) 坡顶复频响幅值,P061,3.4,0.9519103187
子图1：(a) 坡顶复频响幅值,P061,3.5,0.9061439277
子图1：(a) 坡顶复频响幅值,P061,3.6,0.9290664663
子图1：(a) 坡顶复频响幅值,P061,3.7,1.067023049
子图1：(a) 坡顶复频响幅值,P061,3.8,1.2486937
子图1：(a) 坡顶复频响幅值,P061,3.9,1.407636443
子图1：(a) 坡顶复频响幅值,P061,4,1.508323645
子图1：(a) 坡顶复频响幅值,P061,4.1,1.548325084
子图1：(a) 坡顶复频响幅值,P061,4.2,1.555688474
子图1：(a) 坡顶复频响幅值,P061,4.3,1.52651092
子图1：(a) 坡顶复频响幅值,P061,4.4,1.429308525
子图1：(a) 坡顶复频响幅值,P061,4.5,1.248587643
子图1：(a) 坡顶复频响幅值,P061,4.6,0.9991823442
子图1：(a) 坡顶复频响幅值,P061,4.7,0.8091359285
子图1：(a) 坡顶复频响幅值,P061,4.8,0.8523131553
子图1：(a) 坡顶复频响幅值,P061,4.9,1.029045041
子图1：(a) 坡顶复频响幅值,P061,5,1.164488929
子图1：(a) 坡顶复频响幅值,P061,5.1,1.198805916
子图1：(a) 坡顶复频响幅值,P061,5.2,1.153743697
子图1：(a) 坡顶复频响幅值,P061,5.3,1.072002819
子图1：(a) 坡顶复频响幅值,P061,5.4,1.002211775
子图1：(a) 坡顶复频响幅值,P061,5.5,0.9659179564
子图1：(a) 坡顶复频响幅值,P061,5.6,0.9431436358
子图1：(a) 坡顶复频响幅值,P061,5.7,0.9187377872
子图1：(a) 坡顶复频响幅值,P061,5.8,0.9007183023
子图1：(a) 坡顶复频响幅值,P061,5.9,0.9084416436
子图1：(a) 坡顶复频响幅值,P061,6,0.9467491234
子图1：(a) 坡顶复频响幅值,P061,6.1,0.996070989
子图1：(a) 坡顶复频响幅值,P061,6.2,1.033005873
子图1：(a) 坡顶复频响幅值,P061,6.3,1.048988661
子图1：(a) 坡顶复频响幅值,P061,6.4,1.048190386
子图1：(a) 坡顶复频响幅值,P061,6.5,1.03751201
子图1：(a) 坡顶复频响幅值,P061,6.6,1.019195995
子图1：(a) 坡顶复频响幅值,P061,6.7,0.9967690042
子图1：(a) 坡顶复频响幅值,P061,6.8,0.9845204701
子图1：(a) 坡顶复频响幅值,P061,6.9,1.000644012
子图1：(a) 坡顶复频响幅值,P061,7,1.046594027
子图1：(a) 坡顶复频响幅值,P061,7.1,1.105089272
子图1：(a) 坡顶复频响幅值,P061,7.2,1.159529487
子图1：(a) 坡顶复频响幅值,P061,7.3,1.201671176
子图1：(a) 坡顶复频响幅值,P061,7.4,1.225380941
子图1：(a) 坡顶复频响幅值,P061,7.5,1.225545881
子图1：(a) 坡顶复频响幅值,P061,7.6,1.206791715
子图1：(a) 坡顶复频响幅值,P061,7.7,1.181026663
子图1：(a) 坡顶复频响幅值,P061,7.8,1.158986539
子图1：(a) 坡顶复频响幅值,P061,7.9,1.145659042
子图1：(a) 坡顶复频响幅值,P061,8,1.141881435
子图1：(a) 坡顶复频响幅值,P061,8.1,1.144979992
子图1：(a) 坡顶复频响幅值,P061,8.2,1.149481395
子图1：(a) 坡顶复频响幅值,P061,8.3,1.14979858
子图1：(a) 坡顶复频响幅值,P061,8.4,1.142006003
子图1：(a) 坡顶复频响幅值,P061,8.5,1.125578476
子图1：(a) 坡顶复频响幅值,P061,8.6,1.103653265
