子图,系列,x,y
子图1：(a) 水平分量,系列1（竖直参考线）,0,0
子图1：(a) 水平分量,系列1（竖直参考线）,0,3.112913643
子图1：(a) 水平分量,系列2（竖直参考线）,1,0
子图1：(a) 水平分量,系列2（竖直参考线）,1,3.112913643
子图1：(a) 水平分量,Abaqus,-4,1.901581891
子图1：(a) 水平分量,Abaqus,-3.99,1.901089189
子图1：(a) 水平分量,Abaqus,-3.98,1.900596488
子图1：(a) 水平分量,Abaqus,-3.97,1.900103786
子图1：(a) 水平分量,Abaqus,-3.96,1.899611084
子图1：(a) 水平分量,Abaqus,-3.95,1.898887954
子图1：(a) 水平分量,Abaqus,-3.94,1.898164824
子图1：(a) 水平分量,Abaqus,-3.93,1.897619084
子图1：(a) 水平分量,Abaqus,-3.92,1.897249258
子图1：(a) 水平分量,Abaqus,-3.91,1.896641704
子图1：(a) 水平分量,Abaqus,-3.9,1.896034149
子图1：(a) 水平分量,Abaqus,-3.89,1.895426594
子图1：(a) 水平分量,Abaqus,-3.88,1.894819039
子图1：(a) 水平分量,Abaqus,-3.87,1.893977659
子图1：(a) 水平分量,Abaqus,-3.86,1.893136279
子图1：(a) 水平分量,Abaqus,-3.85,1.892294899
子图1：(a) 水平分量,Abaqus,-3.84,1.891729418
子图1：(a) 水平分量,Abaqus,-3.83,1.890998994
子图1：(a) 水平分量,Abaqus,-3.82,1.890268569
子图1：(a) 水平分量,Abaqus,-3.81,1.889538145
子图1：(a) 水平分量,Abaqus,-3.8,1.88880772
子图1：(a) 水平分量,Abaqus,-3.79,1.887839595
子图1：(a) 水平分量,Abaqus,-3.78,1.88687147
子图1：(a) 水平分量,Abaqus,-3.77,1.885903345
子图1：(a) 水平分量,Abaqus,-3.76,1.88493522
子图1：(a) 水平分量,Abaqus,-3.75,1.884066413
子图1：(a) 水平分量,Abaqus,-3.74,1.883204148
子图1：(a) 水平分量,Abaqus,-3.73,1.882341883
子图1：(a) 水平分量,Abaqus,-3.72,1.881479618
子图1：(a) 水平分量,Abaqus,-3.71,1.880374768
子图1：(a) 水平分量,Abaqus,-3.7,1.879269918
子图1：(a) 水平分量,Abaqus,-3.69,1.878165067
子图1：(a) 水平分量,Abaqus,-3.68,1.877060217
子图1：(a) 水平分量,Abaqus,-3.67,1.875746455
子图1：(a) 水平分量,Abaqus,-3.66,1.874744554
子图1：(a) 水平分量,Abaqus,-3.65,1.873742654
子图1：(a) 水平分量,Abaqus,-3.64,1.872740753
子图1：(a) 水平分量,Abaqus,-3.63,1.871493793
子图1：(a) 水平分量,Abaqus,-3.62,1.870246832
子图1：(a) 水平分量,Abaqus,-3.61,1.868999872
子图1：(a) 水平分量,Abaqus,-3.6,1.867752912
子图1：(a) 水平分量,Abaqus,-3.59,1.86626402
子图1：(a) 水平分量,Abaqus,-3.58,1.864839077
子图1：(a) 水平分量,Abaqus,-3.57,1.863695503
子图1：(a) 水平分量,Abaqus,-3.56,1.86255193
子图1：(a) 水平分量,Abaqus,-3.55,1.861162788
子图1：(a) 水平分量,Abaqus,-3.54,1.859773647
子图1：(a) 水平分量,Abaqus,-3.53,1.858384505
子图1：(a) 水平分量,Abaqus,-3.52,1.856995364
子图1：(a) 水平分量,Abaqus,-3.51,1.855365484
子图1：(a) 水平分量,Abaqus,-3.5,1.853735603
子图1：(a) 水平分量,Abaqus,-3.49,1.852201818
子图1：(a) 水平分量,Abaqus,-3.48,1.850917463
子图1：(a) 水平分量,Abaqus,-3.47,1.849386678
子图1：(a) 水平分量,Abaqus,-3.46,1.847855893
子图1：(a) 水平分量,Abaqus,-3.45,1.846325108
子图1：(a) 水平分量,Abaqus,-3.44,1.844794323
子图1：(a) 水平分量,Abaqus,-3.43,1.843023009
子图1：(a) 水平分量,Abaqus,-3.42,1.841251694
子图1：(a) 水平分量,Abaqus,-3.41,1.83948038
子图1：(a) 水平分量,Abaqus,-3.4,1.837845716
子图1：(a) 水平分量,Abaqus,-3.39,1.83617475
子图1：(a) 水平分量,Abaqus,-3.38,1.834503784
子图1：(a) 水平分量,Abaqus,-3.37,1.832832817
子图1：(a) 水平分量,Abaqus,-3.36,1.831161851
子图1：(a) 水平分量,Abaqus,-3.35,1.829253396
子图1：(a) 水平分量,Abaqus,-3.34,1.827344942
子图1：(a) 水平分量,Abaqus,-3.33,1.825436487
子图1：(a) 水平分量,Abaqus,-3.32,1.823528033
子图1：(a) 水平分量,Abaqus,-3.31,1.821583377
子图1：(a) 水平分量,Abaqus,-3.3,1.81978129
子图1：(a) 水平分量,Abaqus,-3.29,1.817979203
子图1：(a) 水平分量,Abaqus,-3.28,1.816177117
子图1：(a) 水平分量,Abaqus,-3.27,1.814145555
子图1：(a) 水平分量,Abaqus,-3.26,1.812113994
子图1：(a) 水平分量,Abaqus,-3.25,1.810082433
子图1：(a) 水平分量,Abaqus,-3.24,1.808050872
子图1：(a) 水平分量,Abaqus,-3.23,1.80578033
子图1：(a) 水平分量,Abaqus,-3.22,1.803844357
子图1：(a) 水平分量,Abaqus,-3.21,1.801928142
子图1：(a) 水平分量,Abaqus,-3.2,1.800011928
子图1：(a) 水平分量,Abaqus,-3.19,1.797873153
子图1：(a) 水平分量,Abaqus,-3.18,1.795734379
子图1：(a) 水平分量,Abaqus,-3.17,1.793595605
子图1：(a) 水平分量,Abaqus,-3.16,1.79145683
子图1：(a) 水平分量,Abaqus,-3.15,1.789083399
子图1：(a) 水平分量,Abaqus,-3.14,1.786879837
子图1：(a) 水平分量,Abaqus,-3.13,1.784865879
子图1：(a) 水平分量,Abaqus,-3.12,1.782851922
子图1：(a) 水平分量,Abaqus,-3.11,1.780623095
子图1：(a) 水平分量,Abaqus,-3.1,1.778394268
子图1：(a) 水平分量,Abaqus,-3.09,1.776165441
子图1：(a) 水平分量,Abaqus,-3.08,1.773936614
子图1：(a) 水平分量,Abaqus,-3.07,1.77148052
子图1：(a) 水平分量,Abaqus,-3.06,1.769104625
子图1：(a) 水平分量,Abaqus,-3.05,1.767015575
子图1：(a) 水平分量,Abaqus,-3.04,1.764926525
子图1：(a) 水平分量,Abaqus,-3.03,1.762634169
子图1：(a) 水平分量,Abaqus,-3.02,1.760341813
子图1：(a) 水平分量,Abaqus,-3.01,1.758049458
子图1：(a) 水平分量,Abaqus,-3,1.755757102
子图1：(a) 水平分量,Abaqus,-2.99,1.753248088
子图1：(a) 水平分量,Abaqus,-2.98,1.75082872
子图1：(a) 水平分量,Abaqus,-2.97,1.748696137
子图1：(a) 水平分量,Abaqus,-2.96,1.746563554
子图1：(a) 水平分量,Abaqus,-2.95,1.744241403
子图1：(a) 水平分量,Abaqus,-2.94,1.741919253
子图1：(a) 水平分量,Abaqus,-2.93,1.739597102
子图1：(a) 水平分量,Abaqus,-2.92,1.737274952
子图1：(a) 水平分量,Abaqus,-2.91,1.734746663
子图1：(a) 水平分量,Abaqus,-2.9,1.732429647
子图1：(a) 水平分量,Abaqus,-2.89,1.730287893
子图1：(a) 水平分量,Abaqus,-2.88,1.72814614
子图1：(a) 水平分量,Abaqus,-2.87,1.725828349
子图1：(a) 水平分量,Abaqus,-2.86,1.723510558
子图1：(a) 水平分量,Abaqus,-2.85,1.721192767
子图1：(a) 水平分量,Abaqus,-2.84,1.718874976
子图1：(a) 水平分量,Abaqus,-2.83,1.716420437
子图1：(a) 水平分量,Abaqus,-2.82,1.714306326
子图1：(a) 水平分量,Abaqus,-2.81,1.712192216
子图1：(a) 水平分量,Abaqus,-2.8,1.710078105
子图1：(a) 水平分量,Abaqus,-2.79,1.707803126
子图1：(a) 水平分量,Abaqus,-2.78,1.705528146
子图1：(a) 水平分量,Abaqus,-2.77,1.703253167
子图1：(a) 水平分量,Abaqus,-2.76,1.700996699
