子图,系列,x,y
子图1：均质坡 H004,系列1（竖直参考线）,0,0.5
子图1：均质坡 H004,系列1（竖直参考线）,0,10
子图1：均质坡 H004,系列2（竖直参考线）,1,0.5
子图1：均质坡 H004,系列2（竖直参考线）,1,10
子图2：成层坡 P061,系列3（竖直参考线）,0,0.5
子图2：成层坡 P061,系列3（竖直参考线）,0,10
子图2：成层坡 P061,系列4（竖直参考线）,1,0.5
子图2：成层坡 P061,系列4（竖直参考线）,1,10
子图3：5 Hz总波场响应空间剖面,均质 H004,-4,0.9416231027
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.95,0.9373358201
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.9,0.9338311156
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.85,0.9309991897
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.8,0.9287468715
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.75,0.9270151813
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.7,0.9256804466
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.65,0.9246812576
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.6,0.9239381866
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.55,0.9232299461
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.5,0.9225750849
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.45,0.9218672823
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.4,0.9210142449
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.35,0.9198353404
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.3,0.9183462931
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.25,0.9164946505
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.2,0.9142299863
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.15,0.9113401067
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.1,0.9079478858
子图3：5 Hz总波场响应空间剖面,均质 H004,-3.05,0.9040217687
子图3：5 Hz总波场响应空间剖面,均质 H004,-3,0.899544297
子图3：5 Hz总波场响应空间剖面,均质 H004,-2.95,0.8943659672
子图3：5 Hz总波场响应空间剖面,均质 H004,-2.9,0.8886428851
子图3：5 Hz总波场响应空间剖面,均质 H004,-2.85,0.8824005167
子图3：5 Hz总波场响应空间剖面,均质 H004,-2.8,0.8756734619
子图3：5 Hz总波场响应空间剖面,均质 H004,-2.75,0.8683630195
子图3：5 Hz总波场响应空间剖面,均质 H004,-2.7,0.8606816635
子图3：5 Hz总波场响应空间剖面,均质 H004,-2.65,0.8526978666
子图3：5 Hz总波场响应空间剖面,均质 H004,-2.6,0.8444934781
子图3：5 Hz总波场响应空间剖面,均质 H004,-2.55,0.8360710432
