子图,系列,x,y
子图1：ln|G_h|,系列1（竖直参考线）,0,0.5
子图1：ln|G_h|,系列1（竖直参考线）,0,10
子图1：ln|G_h|,系列2（竖直参考线）,1,0.5
子图1：ln|G_h|,系列2（竖直参考线）,1,10
子图2：Phi_h (°),系列3（竖直参考线）,0,0.5
子图2：Phi_h (°),系列3（竖直参考线）,0,10
子图2：Phi_h (°),系列4（竖直参考线）,1,0.5
子图2：Phi_h (°),系列4（竖直参考线）,1,10
子图3：tau_g (s),系列5（竖直参考线）,0,0.5
子图3：tau_g (s),系列5（竖直参考线）,0,10
子图3：tau_g (s),系列6（竖直参考线）,1,0.5
子图3：tau_g (s),系列6（竖直参考线）,1,10
子图4,系列7（竖直参考线）,0,0.5
子图4,系列7（竖直参考线）,0,10
子图4,系列8（竖直参考线）,1,0.5
子图4,系列8（竖直参考线）,1,10
子图5,系列9（竖直参考线）,0,0.5
子图5,系列9（竖直参考线）,0,10
子图5,系列10（竖直参考线）,1,0.5
子图5,系列10（竖直参考线）,1,10
子图6,系列11（竖直参考线）,0,0.5
子图6,系列11（竖直参考线）,0,10
子图6,系列12（竖直参考线）,1,0.5
子图6,系列12（竖直参考线）,1,10
