子图,系列,x,y
子图1：幅值谱,上平台 s=-2.0,0.5,1.015604011
子图1：幅值谱,上平台 s=-2.0,0.6,1.025989227
子图1：幅值谱,上平台 s=-2.0,0.7,1.040562511
子图1：幅值谱,上平台 s=-2.0,0.8,1.063945846
子图1：幅值谱,上平台 s=-2.0,0.9,1.105915286
子图1：幅值谱,上平台 s=-2.0,1,1.18832439
子图1：幅值谱,上平台 s=-2.0,1.1,1.333410628
子图1：幅值谱,上平台 s=-2.0,1.2,1.453700106
子图1：幅值谱,上平台 s=-2.0,1.3,1.415721505
子图1：幅值谱,上平台 s=-2.0,1.4,1.329164919
子图1：幅值谱,上平台 s=-2.0,1.5,1.264911717
子图1：幅值谱,上平台 s=-2.0,1.6,1.21088356
子图1：幅值谱,上平台 s=-2.0,1.7,1.127908142
子图1：幅值谱,上平台 s=-2.0,1.8,0.9710506304
子图1：幅值谱,上平台 s=-2.0,1.9,0.817409727
子图1：幅值谱,上平台 s=-2.0,2,0.8226448206
子图1：幅值谱,上平台 s=-2.0,2.1,0.917365094
子图1：幅值谱,上平台 s=-2.0,2.2,0.9328772686
子图1：幅值谱,上平台 s=-2.0,2.3,0.9302200362
子图1：幅值谱,上平台 s=-2.0,2.4,0.8943907728
子图1：幅值谱,上平台 s=-2.0,2.5,0.8996227161
子图1：幅值谱,上平台 s=-2.0,2.6,0.960848318
子图1：幅值谱,上平台 s=-2.0,2.7,0.9994600536
子图1：幅值谱,上平台 s=-2.0,2.8,0.9786809196
子图1：幅值谱,上平台 s=-2.0,2.9,0.9141336745
子图1：幅值谱,上平台 s=-2.0,3,0.8047264725
子图1：幅值谱,上平台 s=-2.0,3.1,0.6967928238
子图1：幅值谱,上平台 s=-2.0,3.2,0.6333044696
子图1：幅值谱,上平台 s=-2.0,3.3,0.5928819863
子图1：幅值谱,上平台 s=-2.0,3.4,0.609387852
子图1：幅值谱,上平台 s=-2.0,3.5,0.667080976
子图1：幅值谱,上平台 s=-2.0,3.6,0.695551575
子图1：幅值谱,上平台 s=-2.0,3.7,0.6942495449
子图1：幅值谱,上平台 s=-2.0,3.8,0.7009068005
子图1：幅值谱,上平台 s=-2.0,3.9,0.7465227377
子图1：幅值谱,上平台 s=-2.0,4,0.8552504421
子图1：幅值谱,上平台 s=-2.0,4.1,1.013993781
子图1：幅值谱,上平台 s=-2.0,4.2,1.190128968
子图1：幅值谱,上平台 s=-2.0,4.3,1.368818349
子图1：幅值谱,上平台 s=-2.0,4.4,1.517226716
子图1：幅值谱,上平台 s=-2.0,4.5,1.595371472
子图1：幅值谱,上平台 s=-2.0,4.6,1.574890746
子图1：幅值谱,上平台 s=-2.0,4.7,1.457020408
子图1：幅值谱,上平台 s=-2.0,4.8,1.292586177
子图1：幅值谱,上平台 s=-2.0,4.9,1.157823483
子图1：幅值谱,上平台 s=-2.0,5,1.102186426
子图1：幅值谱,上平台 s=-2.0,5.1,1.103842162
子图1：幅值谱,上平台 s=-2.0,5.2,1.115933625
子图1：幅值谱,上平台 s=-2.0,5.3,1.122124115
子图1：幅值谱,上平台 s=-2.0,5.4,1.112300501
子图1：幅值谱,上平台 s=-2.0,5.5,1.072800696
子图1：幅值谱,上平台 s=-2.0,5.6,0.9973862858
子图1：幅值谱,上平台 s=-2.0,5.7,0.8977174641
子图1：幅值谱,上平台 s=-2.0,5.8,0.7981156468
子图1：幅值谱,上平台 s=-2.0,5.9,0.7129030829
子图1：幅值谱,上平台 s=-2.0,6,0.6352614248
子图1：幅值谱,上平台 s=-2.0,6.1,0.5653848349
子图1：幅值谱,上平台 s=-2.0,6.2,0.5263885923
子图1：幅值谱,上平台 s=-2.0,6.3,0.5407516492
