子图,系列,x,y
子图1：(a) d/h=0.20（P033）,系列1（竖直参考线）,0,0.5
子图1：(a) d/h=0.20（P033）,系列1（竖直参考线）,0,10
子图1：(a) d/h=0.20（P033）,系列2（竖直参考线）,1,0.5
子图1：(a) d/h=0.20（P033）,系列2（竖直参考线）,1,10
子图1：(a) d/h=0.20（P033）,系列3,0,9.3
子图2：(b) d/h=0.60（P037）,系列4（竖直参考线）,0,0.5
子图2：(b) d/h=0.60（P037）,系列4（竖直参考线）,0,10
子图2：(b) d/h=0.60（P037）,系列5（竖直参考线）,1,0.5
子图2：(b) d/h=0.60（P037）,系列5（竖直参考线）,1,10
子图2：(b) d/h=0.60（P037）,系列6,0,4.3
子图3：(c) d/h=1.00（P041）,系列7（竖直参考线）,0,0.5
子图3：(c) d/h=1.00（P041）,系列7（竖直参考线）,0,10
子图3：(c) d/h=1.00（P041）,系列8（竖直参考线）,1,0.5
子图3：(c) d/h=1.00（P041）,系列8（竖直参考线）,1,10
子图3：(c) d/h=1.00（P041）,系列9,-0.35,8.8
子图4：(d) d/h=1.40（P045）,系列10（竖直参考线）,0,0.5
子图4：(d) d/h=1.40（P045）,系列10（竖直参考线）,0,10
子图4：(d) d/h=1.40（P045）,系列11（竖直参考线）,1,0.5
子图4：(d) d/h=1.40（P045）,系列11（竖直参考线）,1,10
子图4：(d) d/h=1.40（P045）,系列12,3.15,4
子图5,系列13（竖直参考线）,0,0.7812095217
子图5,系列13（竖直参考线）,0,4.053223927
子图5,系列14（竖直参考线）,1,0.7812095217
子图5,系列14（竖直参考线）,1,4.053223927
子图5,d/h=0.20,-4,1.494526361
子图5,d/h=0.20,-3.95,1.507113097
子图5,d/h=0.20,-3.9,1.520660223
子图5,d/h=0.20,-3.85,1.529413752
子图5,d/h=0.20,-3.8,1.535306078
子图5,d/h=0.20,-3.75,1.540398483
子图5,d/h=0.20,-3.7,1.540381941
子图5,d/h=0.20,-3.65,1.535925008
子图5,d/h=0.20,-3.6,1.531907975
子图5,d/h=0.20,-3.55,1.523011313
子图5,d/h=0.20,-3.5,1.509369642
子图5,d/h=0.20,-3.45,1.495725396
子图5,d/h=0.20,-3.4,1.478936696
子图5,d/h=0.20,-3.35,1.458548363
子图5,d/h=0.20,-3.3,1.481036381
子图5,d/h=0.20,-3.25,1.506752417
子图5,d/h=0.20,-3.2,1.531951351
子图5,d/h=0.20,-3.15,1.549254621
子图5,d/h=0.20,-3.1,1.558923845
子图5,d/h=0.20,-3.05,1.561302892
子图5,d/h=0.20,-3,1.556809457
子图5,d/h=0.20,-2.95,1.545925663
子图5,d/h=0.20,-2.9,1.529126564
子图5,d/h=0.20,-2.85,1.507216869
子图5,d/h=0.20,-2.8,1.482048644
子图5,d/h=0.20,-2.75,1.452463166
子图5,d/h=0.20,-2.7,1.419170496
子图5,d/h=0.20,-2.65,1.382870688
子图5,d/h=0.20,-2.6,1.362163475
子图5,d/h=0.20,-2.55,1.384664971
子图5,d/h=0.20,-2.5,1.385607909
子图5,d/h=0.20,-2.45,1.363172465
子图5,d/h=0.20,-2.4,1.321555037
子图5,d/h=0.20,-2.35,1.291372506
子图5,d/h=0.20,-2.3,1.28004336
子图5,d/h=0.20,-2.25,1.267333764
子图5,d/h=0.20,-2.2,1.255018848
子图5,d/h=0.20,-2.15,1.249917344
子图5,d/h=0.20,-2.1,1.24469214
子图5,d/h=0.20,-2.05,1.250729983
子图5,d/h=0.20,-2,1.256674989
子图5,d/h=0.20,-1.95,1.262523191
子图5,d/h=0.20,-1.9,1.268426423
子图5,d/h=0.20,-1.85,1.275008386
子图5,d/h=0.20,-1.8,1.281469271
子图5,d/h=0.20,-1.75,1.287803252
子图5,d/h=0.20,-1.7,1.294004563
子图5,d/h=0.20,-1.65,1.301014844
子图5,d/h=0.20,-1.6,1.307870783
子图5,d/h=0.20,-1.55,1.314560359
子图5,d/h=0.20,-1.5,1.361400491
子图5,d/h=0.20,-1.45,1.38823734
子图5,d/h=0.20,-1.4,1.390755699
子图5,d/h=0.20,-1.35,1.36742311
子图5,d/h=0.20,-1.3,1.349462006
子图5,d/h=0.20,-1.25,1.35672736
子图5,d/h=0.20,-1.2,1.363718403
子图5,d/h=0.20,-1.15,1.370434587
子图5,d/h=0.20,-1.1,1.377555833
子图5,d/h=0.20,-1.05,1.384456092
子图5,d/h=0.20,-1,1.39101993
子图5,d/h=0.20,-0.95,1.397238543
子图5,d/h=0.20,-0.9,1.403524972
子图5,d/h=0.20,-0.85,1.409630467
子图5,d/h=0.20,-0.8,1.417008054
子图5,d/h=0.20,-0.75,1.45149378
子图5,d/h=0.20,-0.7,1.481421979
子图5,d/h=0.20,-0.65,1.506358671
子图5,d/h=0.20,-0.6,1.525913533
子图5,d/h=0.20,-0.55,1.539739952
子图5,d/h=0.20,-0.5,1.594365599
子图5,d/h=0.20,-0.45,1.642822015
子图5,d/h=0.20,-0.4,1.679884037
子图5,d/h=0.20,-0.35,1.707118464
子图5,d/h=0.20,-0.3,1.758040318
子图5,d/h=0.20,-0.25,1.792205059
子图5,d/h=0.20,-0.2,1.811797257
子图5,d/h=0.20,-0.15,1.821043218
子图5,d/h=0.20,-0.1,1.826340759
子图5,d/h=0.20,-0.05,1.836242881
子图5,d/h=0.20,0,1.860875244
子图5,d/h=0.20,0.05,1.418752457
子图5,d/h=0.20,0.1,1.355264689
子图5,d/h=0.20,0.15,1.291725569
子图5,d/h=0.20,0.2,1.23389233
子图5,d/h=0.20,0.25,1.222270247
子图5,d/h=0.20,0.3,1.210762281
子图5,d/h=0.20,0.35,1.196186389
子图5,d/h=0.20,0.4,1.181613289
子图5,d/h=0.20,0.45,1.164368255
子图5,d/h=0.20,0.5,1.147747283
子图5,d/h=0.20,0.55,1.127869649
子图5,d/h=0.20,0.6,1.107992985
子图5,d/h=0.20,0.65,1.08924425
子图5,d/h=0.20,0.7,1.070762385
子图5,d/h=0.20,0.75,1.045483639
子图5,d/h=0.20,0.8,1.021467945
子图5,d/h=0.20,0.85,1.01349857
