子图,系列,x,y
子图1：(a) r_v=0.30（P037）,系列1（竖直参考线）,0,0.5
子图1：(a) r_v=0.30（P037）,系列1（竖直参考线）,0,10
子图1：(a) r_v=0.30（P037）,系列2（竖直参考线）,1,0.5
子图1：(a) r_v=0.30（P037）,系列2（竖直参考线）,1,10
子图1：(a) r_v=0.30（P037）,系列3,0,4.3
子图2：(b) r_v=0.45（P038）,系列4（竖直参考线）,0,0.5
子图2：(b) r_v=0.45（P038）,系列4（竖直参考线）,0,10
子图2：(b) r_v=0.45（P038）,系列5（竖直参考线）,1,0.5
子图2：(b) r_v=0.45（P038）,系列5（竖直参考线）,1,10
子图2：(b) r_v=0.45（P038）,系列6,0,5.4
子图3：(c) r_v=0.60（P039）,系列7（竖直参考线）,0,0.5
子图3：(c) r_v=0.60（P039）,系列7（竖直参考线）,0,10
子图3：(c) r_v=0.60（P039）,系列8（竖直参考线）,1,0.5
子图3：(c) r_v=0.60（P039）,系列8（竖直参考线）,1,10
子图3：(c) r_v=0.60（P039）,系列9,0,7.7
子图4：(d) r_v=0.75（P040）,系列10（竖直参考线）,0,0.5
子图4：(d) r_v=0.75（P040）,系列10（竖直参考线）,0,10
子图4：(d) r_v=0.75（P040）,系列11（竖直参考线）,1,0.5
子图4：(d) r_v=0.75（P040）,系列11（竖直参考线）,1,10
子图4：(d) r_v=0.75（P040）,系列12,0,8.2
子图5,系列13（竖直参考线）,0,0.8690222884
子图5,系列13（竖直参考线）,0,2.209155825
子图5,系列14（竖直参考线）,1,0.8690222884
子图5,系列14（竖直参考线）,1,2.209155825
子图5,r_v=0.30,-4,1.383332648
子图5,r_v=0.30,-3.95,1.402487632
子图5,r_v=0.30,-3.9,1.410387495
子图5,r_v=0.30,-3.85,1.411606581
子图5,r_v=0.30,-3.8,1.400129859
子图5,r_v=0.30,-3.75,1.394344484
子图5,r_v=0.30,-3.7,1.402340247
子图5,r_v=0.30,-3.65,1.403320568
子图5,r_v=0.30,-3.6,1.413285842
子图5,r_v=0.30,-3.55,1.399977002
子图5,r_v=0.30,-3.5,1.400173741
子图5,r_v=0.30,-3.45,1.392592204
子图5,r_v=0.30,-3.4,1.359678891
子图5,r_v=0.30,-3.35,1.363414535
子图5,r_v=0.30,-3.3,1.35397661
子图5,r_v=0.30,-3.25,1.342677083
子图5,r_v=0.30,-3.2,1.35252174
子图5,r_v=0.30,-3.15,1.36238947
子图5,r_v=0.30,-3.1,1.370068672
子图5,r_v=0.30,-3.05,1.381930386
子图5,r_v=0.30,-3,1.388566841
子图5,r_v=0.30,-2.95,1.419018011
子图5,r_v=0.30,-2.9,1.4522626
子图5,r_v=0.30,-2.85,1.478290117
子图5,r_v=0.30,-2.8,1.495880083
子图5,r_v=0.30,-2.75,1.505477887
子图5,r_v=0.30,-2.7,1.515847849
子图5,r_v=0.30,-2.65,1.52705279
子图5,r_v=0.30,-2.6,1.5336005
子图5,r_v=0.30,-2.55,1.528853477
子图5,r_v=0.30,-2.5,1.556338757
子图5,r_v=0.30,-2.45,1.592412946
子图5,r_v=0.30,-2.4,1.640314559
子图5,r_v=0.30,-2.35,1.659024694
子图5,r_v=0.30,-2.3,1.673391103
子图5,r_v=0.30,-2.25,1.680396488
子图5,r_v=0.30,-2.2,1.662847206
子图5,r_v=0.30,-2.15,1.650545657
子图5,r_v=0.30,-2.1,1.615567622
子图5,r_v=0.30,-2.05,1.630990312
子图5,r_v=0.30,-2,1.623011415
子图5,r_v=0.30,-1.95,1.621804177
子图5,r_v=0.30,-1.9,1.600194647
子图5,r_v=0.30,-1.85,1.56793634
子图5,r_v=0.30,-1.8,1.509148416
子图5,r_v=0.30,-1.75,1.515623692
子图5,r_v=0.30,-1.7,1.533849986
子图5,r_v=0.30,-1.65,1.535417673
子图5,r_v=0.30,-1.6,1.513181358
子图5,r_v=0.30,-1.55,1.516815426
子图5,r_v=0.30,-1.5,1.53474847
子图5,r_v=0.30,-1.45,1.534389092
子图5,r_v=0.30,-1.4,1.531540245
子图5,r_v=0.30,-1.35,1.55020746
子图5,r_v=0.30,-1.3,1.480839257
子图5,r_v=0.30,-1.25,1.413086856
子图5,r_v=0.30,-1.2,1.409372121
子图5,r_v=0.30,-1.15,1.423614653
子图5,r_v=0.30,-1.1,1.459002136
子图5,r_v=0.30,-1.05,1.47443275
子图5,r_v=0.30,-1,1.51724915
子图5,r_v=0.30,-0.95,1.531337947
子图5,r_v=0.30,-0.9,1.580710344
子图5,r_v=0.30,-0.85,1.602756555
子图5,r_v=0.30,-0.8,1.590946079
子图5,r_v=0.30,-0.75,1.617954683
子图5,r_v=0.30,-0.7,1.641641729
子图5,r_v=0.30,-0.65,1.662961138
子图5,r_v=0.30,-0.6,1.683524555
子图5,r_v=0.30,-0.55,1.699842431
子图5,r_v=0.30,-0.5,1.741862182
子图5,r_v=0.30,-0.45,1.793902696
子图5,r_v=0.30,-0.4,1.846734973
子图5,r_v=0.30,-0.35,1.896327327
子图5,r_v=0.30,-0.3,1.944170902
子图5,r_v=0.30,-0.25,1.988846964
子图5,r_v=0.30,-0.2,2.031132018
子图5,r_v=0.30,-0.15,2.067927835
子图5,r_v=0.30,-0.1,2.101179968
子图5,r_v=0.30,-0.05,2.130491598
子图5,r_v=0.30,0,2.148240664
子图5,r_v=0.30,0.05,1.996135592
子图5,r_v=0.30,0.1,1.757717799
子图5,r_v=0.30,0.15,1.47195866
子图5,r_v=0.30,0.2,1.39456853
子图5,r_v=0.30,0.25,1.568549788
子图5,r_v=0.30,0.3,1.555450369
子图5,r_v=0.30,0.35,1.523364384
子图5,r_v=0.30,0.4,1.659547309
子图5,r_v=0.30,0.45,1.720326952
子图5,r_v=0.30,0.5,1.618482124
子图5,r_v=0.30,0.55,1.452512096
子图5,r_v=0.30,0.6,1.311935279
子图5,r_v=0.30,0.65,1.268358705
子图5,r_v=0.30,0.7,1.225612111
子图5,r_v=0.30,0.75,1.150311249
子图5,r_v=0.30,0.8,1.080840378
子图5,r_v=0.30,0.85,1.015368314
子图5,r_v=0.30,0.9,0.9800246015
子图5,r_v=0.30,0.95,0.9495779337
子图5,r_v=0.30,1,0.9460922463
子图5,r_v=0.30,1.05,0.9440885603
子图5,r_v=0.30,1.1,0.942102853
子图5,r_v=0.30,1.15,0.9406172261
子图5,r_v=0.30,1.2,0.9401036028
子图5,r_v=0.30,1.25,0.9395929737
子图5,r_v=0.30,1.3,0.9387233632
子图5,r_v=0.30,1.35,0.9376798555
子图5,r_v=0.30,1.4,0.9406625078
子图5,r_v=0.30,1.45,0.9413932575
子图5,r_v=0.30,1.5,0.9433422014
子图5,r_v=0.30,1.55,0.9520190419
子图5,r_v=0.30,1.6,0.9730186811
子图5,r_v=0.30,1.65,0.9952825572
子图5,r_v=0.30,1.7,0.9943995962
子图5,r_v=0.30,1.75,0.9830172484
子图5,r_v=0.30,1.8,0.973458199
子图5,r_v=0.30,1.85,0.975317048
子图5,r_v=0.30,1.9,0.9782836599
子图5,r_v=0.30,1.95,0.9757899649
子图5,r_v=0.30,2,0.9616065599
子图5,r_v=0.30,2.05,0.9490714507
子图5,r_v=0.30,2.1,0.9357710068
子图5,r_v=0.30,2.15,0.9299374492
子图5,r_v=0.30,2.2,0.9411209726
子图5,r_v=0.30,2.25,0.9459914919
子图5,r_v=0.30,2.3,0.9511895945
子图5,r_v=0.30,2.35,0.9565171234
子图5,r_v=0.30,2.4,0.961782371
子图5,r_v=0.30,2.45,0.9673688636
子图5,r_v=0.30,2.5,0.969239797
子图5,r_v=0.30,2.55,0.9694764955
子图5,r_v=0.30,2.6,0.9701079858
子图5,r_v=0.30,2.65,0.9698184725
子图5,r_v=0.30,2.7,0.9700111657
子图5,r_v=0.30,2.75,0.9690303113
子图5,r_v=0.30,2.8,0.9651915717
子图5,r_v=0.30,2.85,0.9617955755
子图5,r_v=0.30,2.9,0.9577940852
子图5,r_v=0.30,2.95,0.9547165969
子图5,r_v=0.30,3,0.9808318303
子图5,r_v=0.30,3.05,1.012239454
子图5,r_v=0.30,3.1,1.047488766
子图5,r_v=0.30,3.15,1.089410566
子图5,r_v=0.30,3.2,1.142280736
子图5,r_v=0.30,3.25,1.197775724
子图5,r_v=0.30,3.3,1.239691099
子图5,r_v=0.30,3.35,1.277998258
子图5,r_v=0.30,3.4,1.319422378
子图5,r_v=0.30,3.45,1.366094231
子图5,r_v=0.30,3.5,1.414532022
子图5,r_v=0.30,3.55,1.454895911
子图5,r_v=0.30,3.6,1.478355287
子图5,r_v=0.30,3.65,1.504594057
子图5,r_v=0.30,3.7,1.522775163
子图5,r_v=0.30,3.75,1.537897393
子图5,r_v=0.30,3.8,1.555192702
子图5,r_v=0.30,3.85,1.547926872
子图5,r_v=0.30,3.9,1.543118621
子图5,r_v=0.30,3.95,1.533262227
子图5,r_v=0.30,4,1.511504507
子图5,r_v=0.45,-4,1.412046656
子图5,r_v=0.45,-3.95,1.415144038
子图5,r_v=0.45,-3.9,1.393194203
子图5,r_v=0.45,-3.85,1.369900221
子图5,r_v=0.45,-3.8,1.368297324
子图5,r_v=0.45,-3.75,1.350955922
子图5,r_v=0.45,-3.7,1.347643897
子图5,r_v=0.45,-3.65,1.342707611
子图5,r_v=0.45,-3.6,1.336618732
子图5,r_v=0.45,-3.55,1.32756396
子图5,r_v=0.45,-3.5,1.317297003
子图5,r_v=0.45,-3.45,1.30517468
子图5,r_v=0.45,-3.4,1.290761583
子图5,r_v=0.45,-3.35,1.309422898
子图5,r_v=0.45,-3.3,1.319115707
子图5,r_v=0.45,-3.25,1.320162301
子图5,r_v=0.45,-3.2,1.331339121
子图5,r_v=0.45,-3.15,1.338040155
子图5,r_v=0.45,-3.1,1.350536233
子图5,r_v=0.45,-3.05,1.359098043
子图5,r_v=0.45,-3,1.367972415
子图5,r_v=0.45,-2.95,1.380264334
子图5,r_v=0.45,-2.9,1.395833902
子图5,r_v=0.45,-2.85,1.395787427
子图5,r_v=0.45,-2.8,1.384445061
子图5,r_v=0.45,-2.75,1.406446692
子图5,r_v=0.45,-2.7,1.426369948
子图5,r_v=0.45,-2.65,1.444915846
子图5,r_v=0.45,-2.6,1.467619195
子图5,r_v=0.45,-2.55,1.484240192
子图5,r_v=0.45,-2.5,1.503067222
子图5,r_v=0.45,-2.45,1.520346944
子图5,r_v=0.45,-2.4,1.555105354
子图5,r_v=0.45,-2.35,1.58119144
子图5,r_v=0.45,-2.3,1.622320288
子图5,r_v=0.45,-2.25,1.654054392
子图5,r_v=0.45,-2.2,1.675565564
子图5,r_v=0.45,-2.15,1.677479348
子图5,r_v=0.45,-2.1,1.676018782
子图5,r_v=0.45,-2.05,1.662913826
子图5,r_v=0.45,-2,1.640049433
子图5,r_v=0.45,-1.95,1.640605377
子图5,r_v=0.45,-1.9,1.629045166
子图5,r_v=0.45,-1.85,1.610627793
子图5,r_v=0.45,-1.8,1.573569463
子图5,r_v=0.45,-1.75,1.514532003
子图5,r_v=0.45,-1.7,1.44158967
子图5,r_v=0.45,-1.65,1.458328924
子图5,r_v=0.45,-1.6,1.504214936
子图5,r_v=0.45,-1.55,1.541146226
子图5,r_v=0.45,-1.5,1.560490051
子图5,r_v=0.45,-1.45,1.57336086
子图5,r_v=0.45,-1.4,1.561112618
子图5,r_v=0.45,-1.35,1.530355643
子图5,r_v=0.45,-1.3,1.473419725
子图5,r_v=0.45,-1.25,1.406715031
子图5,r_v=0.45,-1.2,1.340074737
子图5,r_v=0.45,-1.15,1.344614771
子图5,r_v=0.45,-1.1,1.348788865
子图5,r_v=0.45,-1.05,1.352598279
子图5,r_v=0.45,-1,1.357356164
子图5,r_v=0.45,-0.95,1.376570465
子图5,r_v=0.45,-0.9,1.396727261
子图5,r_v=0.45,-0.85,1.415205857
子图5,r_v=0.45,-0.8,1.435513325
子图5,r_v=0.45,-0.75,1.45985741
子图5,r_v=0.45,-0.7,1.491305569
子图5,r_v=0.45,-0.65,1.524937545
子图5,r_v=0.45,-0.6,1.561940928
子图5,r_v=0.45,-0.55,1.59664545
子图5,r_v=0.45,-0.5,1.629636538
子图5,r_v=0.45,-0.45,1.660558795
子图5,r_v=0.45,-0.4,1.691408921
子图5,r_v=0.45,-0.35,1.721042017
子图5,r_v=0.45,-0.3,1.747968052
子图5,r_v=0.45,-0.25,1.772498471
子图5,r_v=0.45,-0.2,1.795995673
子图5,r_v=0.45,-0.15,1.81528894
子图5,r_v=0.45,-0.1,1.833528419
子图5,r_v=0.45,-0.05,1.849871081
子图5,r_v=0.45,0,1.860291667
子图5,r_v=0.45,0.05,1.753913009
子图5,r_v=0.45,0.1,1.586654233
子图5,r_v=0.45,0.15,1.391261331
子图5,r_v=0.45,0.2,1.236248555
子图5,r_v=0.45,0.25,1.185981646
子图5,r_v=0.45,0.3,1.134071075
子图5,r_v=0.45,0.35,1.082963548
子图5,r_v=0.45,0.4,1.034921675
子图5,r_v=0.45,0.45,1.031209627
子图5,r_v=0.45,0.5,1.063190716
子图5,r_v=0.45,0.55,1.088981992
子图5,r_v=0.45,0.6,1.088157642
子图5,r_v=0.45,0.65,1.048201549
子图5,r_v=0.45,0.7,0.9951578871
子图5,r_v=0.45,0.75,0.9909979825
子图5,r_v=0.45,0.8,0.9893735747
子图5,r_v=0.45,0.85,0.9868458146
子图5,r_v=0.45,0.9,0.9847492285
子图5,r_v=0.45,0.95,0.9820375865
子图5,r_v=0.45,1,0.977710046
子图5,r_v=0.45,1.05,0.9753885806
子图5,r_v=0.45,1.1,0.9734481042
子图5,r_v=0.45,1.15,0.9727688741
子图5,r_v=0.45,1.2,0.9718422207
子图5,r_v=0.45,1.25,0.9706096716
子图5,r_v=0.45,1.3,0.9698114796
子图5,r_v=0.45,1.35,0.9692303291
子图5,r_v=0.45,1.4,0.9683393879
子图5,r_v=0.45,1.45,0.9674595955
子图5,r_v=0.45,1.5,0.9669312719
子图5,r_v=0.45,1.55,0.9663273795
子图5,r_v=0.45,1.6,0.9655700516
