子图,系列,x,y
子图1,坡角 i,0.4415861994,0.52
子图1,坡角 i,7.983316598,0.52
子图1,坡角 i,0.8831723989,1
子图1,坡角 i,15.9666332,0
子图1,厚度比 d/h,17.98999831,0.52
子图1,厚度比 d/h,16.72098904,0.52
子图1,厚度比 d/h,34.21365183,1
子图1,厚度比 d/h,1.508711697,0
子图1,波速比 r_v,54.9223256,0.52
子图1,波速比 r_v,17.63711967,0.52
子图1,波速比 r_v,39.65100275,1
子图1,波速比 r_v,0.3235495577,0
子图1,i×d/h,75.54276948,0.52
子图1,i×d/h,27.79941542,0.52
子图1,i×d/h,1.589885006,1
子图1,i×d/h,20.00104193,0
子图1,i×r_v,76.55219332,0.52
子图1,i×r_v,41.25447637,0.52
子图1,i×r_v,0.4289626745,1
子图1,i×r_v,6.909079969,0
子图1,d/h×r_v,87.62625507,0.52
子图1,d/h×r_v,64.35079317,0.52
子图1,d/h×r_v,21.71916083,1
子图1,d/h×r_v,39.28355364,0
子图1,三阶交互,99.24291774,0.52
子图1,三阶交互,91.996285,0.52
子图1,三阶交互,1.514164514,1
子图1,三阶交互,16.00743001,0
子图2,系列15,-1.3,10
子图2,系列15,-0.1,2.1
子图2,系列15,-0.05,2.1
子图2,系列15,0,2.1
子图2,系列15,-1.95,4.8
子图2,系列15,-4,6.4
子图2,系列15,0,8.9
子图2,系列15,0,9.4
子图2,系列15,-3.25,2.9
子图2,系列15,-3.35,4
子图2,系列15,-0.05,5.6
子图2,系列15,0,6.1
子图2,系列15,-3.25,2.3
子图2,系列15,-0.2,3.2
子图2,系列15,-0.1,3.6
子图2,系列15,0,4.2
子图2,系列15,-0.1,10
子图2,系列15,-4,10
子图2,系列15,-0.15,7.4
子图2,系列15,-0.15,9.7
子图2,系列15,0,4.2
子图2,系列15,0,5.3
子图2,系列15,-2,8.9
子图2,系列15,-0.05,7.3
子图2,系列15,-0.2,5.8
子图2,系列15,-0.1,8.8
子图2,系列15,-0.15,10
子图2,系列15,-0.2,9.4
子图2,系列15,-0.15,4.4
子图2,系列15,-0.15,6
子图2,系列15,-0.1,9.1
子图2,系列15,-0.15,10
子图2,系列15,0,9.3
子图2,系列15,-2.6,9.7
子图2,系列15,0,3
子图2,系列15,0,3
子图2,系列15,0,4.3
子图2,系列15,0,5.4
子图2,系列15,0,7.7
子图2,系列15,0,8.2
子图2,系列15,-0.35,8.8
子图2,系列15,-0.45,9.3
子图2,系列15,0,5.3
子图2,系列15,0,6.1
子图2,系列15,0,1.8
子图2,系列15,-0.55,6.4
子图2,系列15,0,2.2
子图2,系列15,0,4.5
子图2,系列15,0,9.4
子图2,系列15,0,3.1
子图2,系列15,0,3.2
子图2,系列15,0,3.2
子图2,系列15,0,4.7
子图2,系列15,0,7.3
子图2,系列15,0,7.8
子图2,系列15,0,8.5
子图2,系列15,0,2.7
子图2,系列15,0,2.1
子图2,系列15,0,5.4
子图2,系列15,0,2.9
子图2,系列15,0,1.9
子图2,系列15,0,1.8
子图2,系列15,0,2.2
子图2,系列15,0,2.6
子图2,系列16,0,2.1
子图2,系列16,-4,6.4
子图2,系列16,0,8.9
子图2,系列16,0,9.4
子图2,系列16,0,6.1
子图2,系列16,0,4.2
子图2,系列16,-4,10
子图2,系列16,0,4.2
子图2,系列16,0,5.3
子图2,系列16,0,9.3
子图2,系列16,0,3
子图2,系列16,0,3
子图2,系列16,0,4.3
子图2,系列16,0,5.4
子图2,系列16,0,7.7
子图2,系列16,0,8.2
子图2,系列16,0,5.3
子图2,系列16,0,6.1
子图2,系列16,0,1.8
子图2,系列16,0,2.2
子图2,系列16,0,4.5
子图2,系列16,0,9.4
子图2,系列16,0,3.1
子图2,系列16,0,3.2
子图2,系列16,0,3.2
子图2,系列16,0,4.7
子图2,系列16,0,7.3
子图2,系列16,0,7.8
子图2,系列16,0,8.5
子图2,系列16,0,2.7
子图2,系列16,0,2.1
子图2,系列16,0,5.4
子图2,系列16,0,2.9
