子图,系列,x,y
子图1,系列1（竖直参考线）,0,0.5
子图1,系列1（竖直参考线）,0,10
子图1,系列2（竖直参考线）,1,0.5
子图1,系列2（竖直参考线）,1,10
子图1,系列3,0.6,5.1
子图2,系列4（竖直参考线）,0,0.5
子图2,系列4（竖直参考线）,0,10
子图2,系列5（竖直参考线）,1,0.5
子图2,系列5（竖直参考线）,1,10
子图2,系列6,0.6,5.1
子图3,系列7,0.36825,0.07522861311
子图3,系列7,0.552375,0.04132708074
子图3,系列7,0.7365,0.02724129919
子图3,系列7,0.920625,0.01605980044
子图3,系列7,0.12275,0.108977852
子图3,系列7,0.184125,0.08957603349
子图3,系列7,0.2455,0.05509613775
子图3,系列7,0.306875,0.03958967019
子图3,系列7,0.07365,0.03353112778
子图3,系列7,0.110475,0.0517858426
子图3,系列7,0.1473,0.06521102093
子图3,系列7,0.184125,0.03954285223
子图3,系列7,0.05260714286,0.1260157327
子图3,系列7,0.07891071429,0.09356589803
子图3,系列7,0.1052142857,0.04135268809
子图3,系列7,0.1315178571,0.004701749169
子图3,系列8,0.37275,0.08221981803
子图3,系列8,0.559125,0.046139889
子图3,系列8,0.7455,0.02996511484
子图3,系列8,0.931875,0.01927928859
子图3,系列8,0.12425,0.1190736391
子图3,系列8,0.186375,0.1044031997
子图3,系列8,0.2485,0.07123568826
子图3,系列8,0.310625,0.04177036836
子图3,系列8,0.07455,0.04951690526
子图3,系列8,0.111825,0.07866014859
子图3,系列8,0.1491,0.07342092416
子图3,系列8,0.186375,0.04136864469
子图3,系列8,0.05325,0.1195771298
子图3,系列8,0.079875,0.0640811225
子图3,系列8,0.1065,0.01311695281
子图3,系列8,0.133125,0.009115621745
子图3,系列9,0.37725,0.07835449017
子图3,系列9,0.565875,0.04689344363
子图3,系列9,0.7545,0.02812115739
子图3,系列9,0.943125,0.01599551181
子图3,系列9,0.12575,0.1199097265
子图3,系列9,0.188625,0.1133352674
子图3,系列9,0.2515,0.07833194733
子图3,系列9,0.314375,0.04193083353
子图3,系列9,0.07545,0.07220456635
子图3,系列9,0.113175,0.09718558604
子图3,系列9,0.1509,0.1017085538
子图3,系列9,0.188625,0.04779817222
子图3,系列9,0.05389285714,0.07369415838
子图3,系列9,0.08083928571,0.0425236482
子图3,系列9,0.1077857143,0.007181919329
子图3,系列9,0.1347321429,0.01841519932
子图3,系列10,0.38175,0.09897306564
子图3,系列10,0.572625,0.05466335194
子图3,系列10,0.7635,0.02768342233
子图3,系列10,0.954375,0.01518929701
子图3,系列10,0.12725,0.1194781112
子图3,系列10,0.190875,0.1028648984
子图3,系列10,0.2545,0.08150596613
子图3,系列10,0.318125,0.05109771276
子图3,系列10,0.07635,0.07689997603
子图3,系列10,0.114525,0.1059791781
子图3,系列10,0.1527,0.1122427259
子图3,系列10,0.190875,0.05674976122
子图3,系列10,0.05453571429,0.07898108849
子图3,系列10,0.08180357143,0.04702052995
子图3,系列10,0.1090714286,0.003372174936
子图3,系列10,0.1363392857,0.02157638101
子图3,系列11,0.05357142857,0.07369415838
子图3,系列11,0.075,0.03353112778
子图3,系列11,0.08035714286,0.0425236482
子图3,系列11,0.1071428571,0.003372174936
子图3,系列11,0.1125,0.0517858426
子图3,系列11,0.125,0.108977852
子图3,系列11,0.1339285714,0.004701749169
子图3,系列11,0.15,0.06521102093
子图3,系列11,0.1875,0.03954285223
子图3,系列11,0.25,0.05509613775
子图3,系列11,0.3125,0.03958967019
子图3,系列11,0.375,0.07522861311
子图3,系列11,0.5625,0.04132708074
子图3,系列11,0.75,0.02724129919
子图3,系列11,0.9375,0.01518929701
子图3,系列11,0.05357142857,0.1260157327
子图3,系列11,0.075,0.07689997603
子图3,系列11,0.08035714286,0.09356589803
子图3,系列11,0.1071428571,0.04135268809
子图3,系列11,0.1125,0.1059791781
子图3,系列11,0.125,0.1199097265
子图3,系列11,0.1339285714,0.02157638101
子图3,系列11,0.15,0.1122427259
子图3,系列11,0.1875,0.1133352674
子图3,系列11,0.25,0.08150596613
子图3,系列11,0.3125,0.05109771276
子图3,系列11,0.375,0.09897306564
子图3,系列11,0.5625,0.05466335194
子图3,系列11,0.75,0.02996511484
子图3,系列11,0.9375,0.01927928859
子图3,系列12,0.05357142857,0.09927910917
子图3,系列12,0.075,0.06086073581
子图3,系列12,0.08035714286,0.05555082623
子图3,系列12,0.1071428571,0.01014943607
子图3,系列12,0.1125,0.08792286732
子图3,系列12,0.125,0.1192758751
子图3,系列12,0.1339285714,0.01376541053
子图3,系列12,0.15,0.08756473898
子图3,系列12,0.1875,0.07316289735
子图3,系列12,0.25,0.0747838178
子图3,系列12,0.3125,0.04185060095
子图3,系列12,0.375,0.0802871541
子图3,系列12,0.5625,0.04651666631
子图3,系列12,0.75,0.02790228986
子图3,系列12,0.9375,0.01602765612
子图4,系列13,0.36825,3.933618447
子图4,系列13,0.552375,1.641358978
子图4,系列13,0.7365,0.863321906
子图4,系列13,0.920625,0.6537555459
子图4,系列13,0.12275,95.82685745
子图4,系列13,0.184125,15.48319268
子图4,系列13,0.2455,6.476629513
