子图,系列,x,y
子图1,系列1,15,0.2
子图1,系列1,15,0.2
子图1,系列1,15,0.2
子图1,系列1,15,0.2
子图1,系列1,15,0.6
子图1,系列1,15,0.6
子图1,系列1,15,0.6
子图1,系列1,15,0.6
子图1,系列1,15,1
子图1,系列1,15,1
子图1,系列1,15,1
子图1,系列1,15,1
子图1,系列1,15,1.4
子图1,系列1,15,1.4
子图1,系列1,15,1.4
子图1,系列1,15,1.4
子图1,系列1,30,0.2
子图1,系列1,30,0.2
子图1,系列1,30,0.2
子图1,系列1,30,0.2
子图1,系列1,30,0.6
子图1,系列1,30,0.6
子图1,系列1,30,0.6
子图1,系列1,30,0.6
子图1,系列1,30,1
子图1,系列1,30,1
子图1,系列1,30,1
子图1,系列1,30,1
子图1,系列1,30,1.4
子图1,系列1,30,1.4
子图1,系列1,30,1.4
子图1,系列1,30,1.4
子图1,系列1,45,0.2
子图1,系列1,45,0.2
子图1,系列1,45,0.2
子图1,系列1,45,0.2
子图1,系列1,45,0.6
子图1,系列1,45,0.6
子图1,系列1,45,0.6
子图1,系列1,45,0.6
子图1,系列1,45,1
子图1,系列1,45,1
子图1,系列1,45,1
子图1,系列1,45,1
子图1,系列1,45,1.4
子图1,系列1,45,1.4
子图1,系列1,45,1.4
子图1,系列1,45,1.4
子图1,系列1,60,0.2
子图1,系列1,60,0.2
子图1,系列1,60,0.2
子图1,系列1,60,0.2
子图1,系列1,60,0.6
子图1,系列1,60,0.6
子图1,系列1,60,0.6
子图1,系列1,60,0.6
子图1,系列1,60,1
子图1,系列1,60,1
子图1,系列1,60,1
子图1,系列1,60,1
子图1,系列1,60,1.4
子图1,系列1,60,1.4
子图1,系列1,60,1.4
子图1,系列1,60,1.4
子图1,系列2,22.5,0.4
子图1,系列2,22.5,0.4
子图1,系列2,22.5,0.8
子图1,系列2,22.5,1.2
子图1,系列2,37.5,0.4
子图1,系列2,37.5,0.8
子图1,系列2,37.5,0.8
子图1,系列2,37.5,1.2
子图1,系列2,52.5,0.4
子图1,系列2,52.5,0.8
子图1,系列2,52.5,1.2
子图1,系列2,52.5,1.2
子图2,系列3,1,27.89879109
子图2,系列3,2,44.62331838
子图2,系列3,3,53.96986668
子图2,系列3,4,59.72128043
子图2,系列3,5,65.14400369
子图2,系列3,6,69.33816237
子图2,系列3,7,73.30862197
子图2,系列3,8,76.72530158
子图2,系列3,9,79.88348247
子图2,系列3,10,82.7407096
子图2,系列3,11,84.98913547
子图2,系列3,12,86.90598543
子图2,系列3,13,88.48610395
子图2,系列3,14,89.93118023
子图2,系列3,15,91.21193317
子图2,系列3,16,92.33922037
子图2,系列3,17,93.27371317
子图2,系列3,18,94.09897248
子图2,系列3,19,94.8037622
子图2,系列3,20,95.40471135
子图2,系列3,21,95.95813673
子图2,系列3,22,96.4288587
子图2,系列3,23,96.87531654
子图2,系列3,24,97.28234684
子图2,系列3,25,97.65763557
子图2,系列3,26,97.95599779
子图2,系列3,27,98.24201269
子图2,系列3,28,98.46743441
子图2,系列3,29,98.65603892
子图2,系列3,30,98.83600328
子图2,系列3,31,98.98734717
子图2,系列3,32,99.12262811
子图2,系列3,33,99.24143869
子图2,系列3,34,99.34585252
子图2,系列3,35,99.43614013
子图2,系列3,36,99.52299529
子图2,系列3,37,99.60507027
子图2,系列3,38,99.67208537
子图2,系列3,39,99.72508563
子图2,系列3,40,99.76875281
子图2,系列3,41,99.80703827
子图2,系列3,42,99.84096655
子图2,系列3,43,99.8692893
子图2,系列3,44,99.89541914
子图2,系列3,45,99.91824361
子图2,系列3,46,99.93630939
子图2,系列3,47,99.95055195
子图2,系列3,48,99.96326299
子图2,系列3,49,99.9723453
子图2,系列3,50,99.97840584
子图2,系列3,51,99.98351343
子图2,系列3,52,99.98736166
子图2,系列3,53,99.99050235
子图2,系列3,54,99.99302811
子图2,系列3,55,99.9952027
子图2,系列3,56,99.99717452
子图2,系列3,57,99.99799786
子图2,系列3,58,99.9987056
子图2,系列3,59,99.99937301
子图2,系列3,60,99.99970841
子图2,系列3,61,99.99992195
子图2,系列3,62,99.9999635
子图2,系列3,63,100
子图2,系列3,64,100
子图2,目标能量99.5%（水平参考线）,1,99.5
子图2,目标能量99.5%（水平参考线）,64,99.5
子图2,系列5（竖直参考线）,12,0
子图2,系列5（竖直参考线）,12,102
子图2,系列6,12,86.90598543
子图2,系列6,36,99.52299529
子图3,系列7（竖直参考线）,0,0.5
子图3,系列7（竖直参考线）,0,10
子图3,系列8（竖直参考线）,1,0.5
子图3,系列8（竖直参考线）,1,10
子图4,系列9（竖直参考线）,0,0.5
子图4,系列9（竖直参考线）,0,10
子图4,系列10（竖直参考线）,1,0.5
子图4,系列10（竖直参考线）,1,10
子图5,系列11（竖直参考线）,0,0.5
子图5,系列11（竖直参考线）,0,10
子图5,系列12（竖直参考线）,1,0.5
子图5,系列12（竖直参考线）,1,10
