子图,系列,x,y
子图1,最近邻,1,0.1327716097
子图1,最近邻,2,0.2836339767
子图1,最近邻,3,0.151178086
子图1,最近邻,4,0.3064722748
子图1,最近邻,5,0.2918262555
子图1,最近邻,6,0.3816928496
子图1,最近邻,7,0.1324335512
子图1,最近邻,8,0.1340348004
子图1,最近邻,9,0.2708243344
子图1,最近邻,10,0.1279700341
子图1,最近邻,11,0.1372668902
子图1,最近邻,12,0.397370732
子图1,最近邻,13,0.1389248988
子图1,最近邻,14,0.1515875833
子图1,最近邻,15,0.2028219449
子图1,最近邻,16,0.1154060381
子图1,最近邻,17,0.1484495456
子图1,最近邻,18,0.6214638413
子图1,最近邻,19,0.1877992949
子图1,最近邻,20,0.1428824179
子图1,最近邻,21,0.1778844642
子图1,最近邻,22,0.1652550758
子图1,最近邻,23,0.4416036594
子图1,最近邻,24,0.139222147
子图1,最近邻,25,0.2702276421
子图1,最近邻,26,0.7492480905
子图1,最近邻,27,0.1830455873
子图1,最近邻,28,0.1413298931
子图1,最近邻,29,0.6214632437
子图1,最近邻,30,0.7144739232
子图1,最近邻,31,0.5233011901
子图1,最近邻,32,0.7095559036
子图1,最近邻,33,0.1319990468
子图1,最近邻,34,0.4806022464
子图1,最近邻,35,0.2162002326
子图1,最近邻,36,0.4148316116
子图1,最近邻,37,0.2455109981
子图1,最近邻,38,0.3249074558
子图1,最近邻,39,0.1790200924
子图1,最近邻,40,0.3577118452
子图1,最近邻,41,0.2762126607
子图1,最近邻,42,0.2377734613
子图1,最近邻,43,0.4144570726
子图1,最近邻,44,0.1593477222
子图1,最近邻,45,1.13067031
子图1,最近邻,46,0.1787306453
子图1,最近邻,47,0.3160435341
子图1,最近邻,48,0.731172912
子图1,最近邻,49,0.7093666252
子图1,最近邻,50,0.259859942
子图1,最近邻,51,0.4763636247
子图1,最近邻,52,0.555727969
子图1,最近邻,53,0.2763083212
子图1,最近邻,54,0.3699950945
子图1,最近邻,55,0.38340708
子图1,最近邻,56,0.2789085453
子图1,最近邻,57,0.7084411561
子图1,最近邻,58,1.124317673
子图1,最近邻,59,1.130171023
子图1,最近邻,60,0.5795909529
子图1,最近邻,61,0.3550690813
子图1,最近邻,62,0.4409387771
子图1,最近邻,63,1.07744209
子图1,最近邻,64,1.03449093
子图1,POD-Ridge,1,0.2818561798
子图1,POD-Ridge,2,0.1751884946
子图1,POD-Ridge,3,0.250078189
子图1,POD-Ridge,4,0.1873796984
子图1,POD-Ridge,5,0.1867579571
