子图,系列,x,y
子图1,系列1,0,0.06305525292
子图1,系列1,1,0.1488023776
子图1,系列1,2,0.2202790122
子图1,系列2,0,0.06305525292
子图1,系列2,0,0.1695097812
子图1,系列3,0,0.1695097812
子图1,系列4,1,0.1488023776
子图1,系列4,1,0.3044713974
子图1,系列5,1,0.3044713974
子图1,系列6,2,0.2202790122
子图1,系列6,2,0.3916053036
子图1,系列7,2,0.3916053036
子图2,系列8,0,5.296717754
子图2,系列8,1,8.818739221
子图2,系列8,2,12.54314898
子图2,系列9,0,5.296717754
子图2,系列9,0,12.64241174
子图2,系列10,0,12.64241174
子图2,系列11,1,8.818739221
子图2,系列11,1,20.23172965
子图2,系列12,1,20.23172965
子图2,系列13,2,12.54314898
子图2,系列13,2,26.33074053
子图2,系列14,2,26.33074053
子图3,系列15,0,0.1835705516
子图3,系列15,1,0.2449863548
子图3,系列15,2,0.2506172781
子图3,系列16,0,0.1835705516
子图3,系列16,0,0.3746605097
子图3,系列17,0,0.3746605097
子图3,系列18,1,0.2449863548
子图3,系列18,1,0.460854992
子图3,系列19,1,0.460854992
子图3,系列20,2,0.2506172781
子图3,系列20,2,0.5094700945
子图3,系列21,2,0.5094700945
子图4,系列22,0,0.1344443622
子图4,系列22,1,0.2215725072
子图4,系列22,2,0.1668107965
子图4,系列23,0,0.1344443622
子图4,系列23,0,0.3120206223
子图4,系列24,0,0.3120206223
子图4,系列25,1,0.2215725072
子图4,系列25,1,0.4194262596
子图4,系列26,1,0.4194262596
子图4,系列27,2,0.1668107965
子图4,系列27,2,0.3513016521
子图4,系列28,2,0.3513016521
