子图,系列,x,y
子图1,系列1,0,0.09179050711
子图1,系列1,1,0.1106199415
子图1,系列1,2,0.1339225918
子图1,系列1,3,0.162315064
子图1,系列1,4,0.1800394529
子图1,系列1,5,0.2260605439
子图1,系列1,6,0.2348375367
子图1,系列1,7,0.2617765966
子图1,系列1,8,0.3729196479
子图1,系列1,9,0.4526531206
子图1,系列1,10,0.691268783
子图1,系列1,11,0.7436639979
子图1,P组CV中位 0.216（水平参考线）,-0.58,0.2164638645
子图1,P组CV中位 0.216（水平参考线）,11.58,0.2164638645
子图1,P组CV P90 0.367（水平参考线）,-0.58,0.3672253039
子图1,P组CV P90 0.367（水平参考线）,11.58,0.3672253039
子图1,B组中位 0.230（水平参考线）,-0.58,0.2304490403
子图1,B组中位 0.230（水平参考线）,11.58,0.2304490403
