子图,系列,x,y
子图1,系列1（竖直参考线）,0,0.5
子图1,系列1（竖直参考线）,0,10
子图1,系列2（竖直参考线）,1,0.5
子图1,系列2（竖直参考线）,1,10
子图2,系列3（竖直参考线）,0,0.5
子图2,系列3（竖直参考线）,0,10
子图2,系列4（竖直参考线）,1,0.5
子图2,系列4（竖直参考线）,1,10
子图3,系列5（竖直参考线）,0,0.5
子图3,系列5（竖直参考线）,0,10
子图3,系列6（竖直参考线）,1,0.5
子图3,系列6（竖直参考线）,1,10
子图4,系列7（竖直参考线）,0,0.5
子图4,系列7（竖直参考线）,0,10
子图4,系列8（竖直参考线）,1,0.5
子图4,系列8（竖直参考线）,1,10
子图5,系列9（竖直参考线）,0,0.5
子图5,系列9（竖直参考线）,0,10
子图5,系列10（竖直参考线）,1,0.5
子图5,系列10（竖直参考线）,1,10
子图6,系列11（竖直参考线）,0,0.5
子图6,系列11（竖直参考线）,0,10
子图6,系列12（竖直参考线）,1,0.5
子图6,系列12（竖直参考线）,1,10
子图7,系列13（竖直参考线）,0,0.5
子图7,系列13（竖直参考线）,0,10
子图7,系列14（竖直参考线）,1,0.5
子图7,系列14（竖直参考线）,1,10
子图8,系列15（竖直参考线）,0,0.5
子图8,系列15（竖直参考线）,0,10
子图8,系列16（竖直参考线）,1,0.5
子图8,系列16（竖直参考线）,1,10
子图9,系列17（竖直参考线）,0,0.5
子图9,系列17（竖直参考线）,0,10
子图9,系列18（竖直参考线）,1,0.5
子图9,系列18（竖直参考线）,1,10
子图10,系列19（竖直参考线）,0,0.5
子图10,系列19（竖直参考线）,0,10
子图10,系列20（竖直参考线）,1,0.5
子图10,系列20（竖直参考线）,1,10
子图11,系列21（竖直参考线）,0,0.5
子图11,系列21（竖直参考线）,0,10
子图11,系列22（竖直参考线）,1,0.5
子图11,系列22（竖直参考线）,1,10
子图12,系列23（竖直参考线）,0,0.5
子图12,系列23（竖直参考线）,0,10
子图12,系列24（竖直参考线）,1,0.5
子图12,系列24（竖直参考线）,1,10
