子图,系列,x,y
子图1,系列1,0,7.527212202e-05
子图1,系列1,0.003,7.527233266e-05
子图1,系列1,0.006,7.527131863e-05
子图1,系列1,0.009,7.526951915e-05
子图1,系列1,0.012,7.526792217e-05
子图1,系列1,0.015,7.526736484e-05
子图1,系列1,0.018,7.526810426e-05
子图1,系列1,0.021,7.526985907e-05
子图1,系列1,0.024,7.527205397e-05
子图1,系列1,0.027,7.527394854e-05
子图1,系列1,0.03,7.527470304e-05
子图1,系列1,0.033,7.527367871e-05
子图1,系列1,0.036,7.527098137e-05
子图1,系列1,0.039,7.526775969e-05
子图1,系列1,0.042,7.526573372e-05
子图1,系列1,0.045,7.526613978e-05
子图1,系列1,0.048,7.526895508e-05
子图1,系列1,0.051,7.527299591e-05
子图1,系列1,0.054,7.527661094e-05
子图1,系列1,0.057,7.527833371e-05
子图1,系列1,0.06,7.527726583e-05
子图1,系列1,0.063,7.527336714e-05
子图1,系列1,0.066,7.526772079e-05
子图1,系列1,0.069,7.526245227e-05
子图1,系列1,0.072,7.525996813e-05
子图1,系列1,0.075,7.526173317e-05
子图1,系列1,0.078,7.526734495e-05
子图1,系列1,0.081,7.527461981e-05
子图1,系列1,0.084,7.528067525e-05
子图1,系列1,0.087,7.528321862e-05
子图1,系列1,0.09,7.528127915e-05
子图1,系列1,0.093,7.527536072e-05
子图1,系列1,0.096,7.526738187e-05
子图1,系列1,0.099,7.526034184e-05
子图1,系列1,0.102,7.52573271e-05
子图1,系列1,0.105,7.526000352e-05
子图1,系列1,0.108,7.526753466e-05
子图1,系列1,0.111,7.527682288e-05
子图1,系列1,0.114,7.528398888e-05
子图1,系列1,0.117,7.528612988e-05
子图1,系列1,0.12,7.528238347e-05
子图1,系列1,0.123,7.527400578e-05
子图1,系列1,0.126,7.526384137e-05
子图1,系列1,0.129,7.525558138e-05
子图1,系列1,0.132,7.525272662e-05
子图1,系列1,0.135,7.525708977e-05
子图1,系列1,0.138,7.526747537e-05
子图1,系列1,0.141,7.527978845e-05
子图1,系列1,0.144,7.52889497e-05
子图1,系列1,0.147,7.52913784e-05
子图1,系列1,0.15,7.528636944e-05
子图1,系列1,0.153,7.527589334e-05
子图1,系列1,0.156,7.526359223e-05
子图1,系列1,0.159,7.525371876e-05
子图1,系列1,0.162,7.525003913e-05
子图1,系列1,0.165,7.525449743e-05
子图1,系列1,0.168,7.526594699e-05
子图1,系列1,0.171,7.527988078e-05
子图1,系列1,0.174,7.529017173e-05
子图1,系列1,0.177,7.529241009e-05
子图1,系列1,0.18,7.528626603e-05
子图1,系列1,0.183,7.527461028e-05
子图1,系列1,0.186,7.525995851e-05
子图1,系列1,0.189,7.524044993e-05
子图1,系列1,0.192,7.520730092e-05
子图1,系列1,0.195,7.514553621e-05
子图1,系列1,0.198,7.503889953e-05
子图1,系列1,0.201,7.487725124e-05
子图1,系列1,0.204,7.466270533e-05
子图1,系列1,0.207,7.441064267e-05
子图1,系列1,0.21,7.414468927e-05
子图1,系列1,0.213,7.389158216e-05
子图1,系列1,0.216,7.368713658e-05
子图1,系列1,0.219,7.359946139e-05
子图1,系列1,0.222,7.375977808e-05
子图1,系列1,0.225,7.437597559e-05
子图1,系列1,0.228,7.570399011e-05
子图1,系列1,0.231,7.797319654e-05
子图1,系列1,0.234,8.129275104e-05
子图1,系列1,0.237,8.558412121e-05
子图1,系列1,0.24,9.057685291e-05
子图1,系列1,0.243,9.58748782e-05
子图1,系列1,0.246,0.0001010689428
子图1,系列1,0.249,0.000105855886
子图1,系列1,0.252,0.0001101315921
子图1,系列1,0.255,0.0001140417256
子图1,系列1,0.258,0.0001179912455
子图1,系列1,0.261,0.0001226241944
子图1,系列1,0.264,0.0001287896862
子图1,系列1,0.267,0.0001375107691
子图1,系列1,0.27,0.0001499688755
子图1,系列1,0.273,0.0001675068155
子图1,系列1,0.276,0.0001916427153
子图1,系列1,0.279,0.0002240815405
子图1,系列1,0.282,0.0002667096024
子图1,系列1,0.285,0.0003215587288
子图1,系列1,0.288,0.0003907292343
子图1,系列1,0.291,0.000476263405
子图1,系列1,0.294,0.0005799674492
子图1,系列1,0.297,0.0007031947673
子图1,系列1,0.3,0.0008466214077
子图1,系列1,0.303,0.001010052706
子图1,系列1,0.306,0.001192293325
子图1,系列1,0.309,0.001391095461
子图1,系列1,0.312,0.001603179698
子图1,系列1,0.315,0.001824310669
子图1,系列1,0.318,0.002049411178
子图1,系列1,0.321,0.002272706117
子图1,系列1,0.324,0.002487891103
子图1,系列1,0.327,0.00268831908
子图1,系列1,0.33,0.002867193913
子图1,系列1,0.333,0.003017759034
子图1,系列1,0.336,0.003133480616
子图1,系列1,0.339,0.003208245422
子图1,系列1,0.342,0.003236604158
子图1,系列1,0.345,0.003214080123
子图1,系列1,0.348,0.003137535547
子图1,系列1,0.351,0.003005554895
子图1,系列1,0.354,0.002818784302
子图1,系列1,0.357,0.002580180697
子图1,系列1,0.36,0.002295159979
子图1,系列1,0.363,0.001971652507
子图1,系列1,0.366,0.001620066801
子图1,系列1,0.369,0.00125314324
子图1,系列1,0.372,0.0008856599861
子图1,系列1,0.375,0.0005339584658
子图1,系列1,0.378,0.0002153082299
子图1,系列1,0.381,-5.280675291e-05
子图1,系列1,0.384,-0.0002533820798
子图1,系列1,0.387,-0.0003705032456
子图1,系列1,0.39,-0.0003898746068
子图1,系列1,0.393,-0.000299337451
子图1,系列1,0.396,-8.945763956e-05
子图1,系列1,0.399,0.0002458127068
子图1,系列1,0.402,0.000708497634
子图1,系列1,0.405,0.001296132728
子图1,系列1,0.408,0.002001585161
子图1,系列1,0.411,0.002813162239
子图1,系列1,0.414,0.003714910905
子图1,系列1,0.417,0.004686997284
子图1,系列1,0.42,0.005706134931
