子图,系列,x,y
子图1,系列1,-4,0
子图1,系列1,-0.75,0
子图1,系列2,-0.6,0
子图1,系列2,4,0
子图1,系列3,-4,1
子图1,系列3,4,1
子图1,系列4,0.35,2
子图1,系列4,4,2
子图1,系列5,-4,3
子图1,系列5,-3.95,3
子图1,系列6,-1.5,3
子图1,系列6,-1.15,3
子图1,系列7,0.2,3
子图1,系列7,0.2,3
子图1,系列8,0.3,3
子图1,系列8,4,3
子图1,系列9,-4,4
子图1,系列9,-3.65,4
子图1,系列10,-2.4,4
子图1,系列10,-1.95,4
子图1,系列11,-0.6,4
子图1,系列11,0,4
子图1,系列12,0.2,4
子图1,系列12,1.7,4
子图1,系列13,2.7,4
子图1,系列13,3,4
子图1,系列14,-4,5
子图1,系列14,-3.5,5
子图1,系列15,-2.3,5
子图1,系列15,-1.95,5
子图1,系列16,-0.65,5
子图1,系列16,0,5
子图1,系列17,0.2,5
子图1,系列17,4,5
子图1,系列18,-1.7,6
子图1,系列18,-1.35,6
子图1,系列19,0.2,6
子图1,系列19,0.25,6
子图1,系列20,0.6,6
子图1,系列20,0.95,6
子图1,系列21,1.5,6
子图1,系列21,4,6
子图1,系列22,-1.95,7
子图1,系列22,-1.2,7
子图1,系列23,0.15,7
子图1,系列23,0.35,7
子图1,系列24,0.5,7
子图1,系列24,4,7
子图1,系列25,-4,8
子图1,系列25,-3.65,8
子图1,系列26,-1.6,8
子图1,系列26,-1.15,8
子图1,系列27,-0.05,8
子图1,系列27,0,8
子图1,系列28,0.1,8
子图1,系列28,0.25,8
子图1,系列29,0.35,8
子图1,系列29,4,8
子图1,系列30,-4,9
子图1,系列30,-3.95,9
子图1,系列31,-1.85,9
子图1,系列31,-1,9
子图1,系列32,0.15,9
子图1,系列32,0.35,9
子图1,系列33,0.6,9
子图1,系列33,4,9
子图1,系列34（竖直参考线）,0,9.5
子图1,系列34（竖直参考线）,0,-0.5
子图1,系列35（竖直参考线）,1,9.5
子图1,系列35（竖直参考线）,1,-0.5
子图2,系列36,0,0.2570550386
子图2,系列36,1,0.2856766692
子图2,系列36,2,0.0937447298
子图2,系列36,3,0.1040185174
子图2,系列36,4,0.09799183547
子图2,系列36,5,0.1068842494
子图2,系列36,6,0.09483470239
子图2,系列36,7,0.1097011858
子图2,系列36,8,0.1121649505
子图2,系列36,9,0.1110939201
子图2,系列37,0,0.2570550386
子图2,系列37,1,0.2856766692
子图2,系列37,2,0.0937447298
子图2,系列37,3,0.1040185174
子图2,系列37,4,0.09799183547
子图2,系列37,5,0.1068842494
子图2,系列37,6,0.09483470239
子图2,系列37,7,0.1097011858
子图2,系列37,8,0.1121649505
子图2,系列37,9,0.1110939201
子图2,系列38（水平参考线）,-0.45,0.1
子图2,系列38（水平参考线）,9.45,0.1
子图3,系列39,0,0.9664754078
子图3,系列39,1,0.9583547351
子图3,系列39,2,0.9956330493
子图3,系列39,3,0.9945836186
子图3,系列39,4,0.9958005716
子图3,系列39,5,0.9954866116
子图3,系列39,6,0.9956787163
子图3,系列39,7,0.9941403205
子图3,系列39,8,0.9939906945
子图3,系列39,9,0.9938745456
子图3,系列40,0,0.9664754078
子图3,系列40,1,0.9583547351
子图3,系列40,2,0.9956330493
子图3,系列40,3,0.9945836186
子图3,系列40,4,0.9958005716
子图3,系列40,5,0.9954866116
子图3,系列40,6,0.9956787163
子图3,系列40,7,0.9941403205
子图3,系列40,8,0.9939906945
子图3,系列40,9,0.9938745456
子图3,系列41（水平参考线）,-0.45,0.95
子图3,系列41（水平参考线）,9.45,0.95
子图4,系列42,0,0.04826858449
子图4,系列42,1,0.07100595091
子图4,系列42,2,0.02646271073
子图4,系列42,3,0.02740977565
子图4,系列42,4,0.01818587226
子图4,系列42,5,0.04254984334
子图4,系列42,6,0.01990982032
子图4,系列42,7,0.01729207557
子图4,系列42,8,0.01766893016
子图4,系列42,9,0.02857620446
子图4,系列43,0,0.04826858449
子图4,系列43,1,0.07100595091
子图4,系列43,2,0.02646271073
子图4,系列43,3,0.02740977565
子图4,系列43,4,0.01818587226
子图4,系列43,5,0.04254984334
子图4,系列43,6,0.01990982032
子图4,系列43,7,0.01729207557
子图4,系列43,8,0.01766893016
子图4,系列43,9,0.02857620446
子图4,系列44（水平参考线）,-0.45,0.1
子图4,系列44（水平参考线）,9.45,0.1
子图5,系列45,0,0.083
子图5,系列45,1,0.124
子图5,系列45,2,0.001
子图5,系列45,3,0.002
子图5,系列45,4,0.002
子图5,系列45,5,0.002
子图5,系列45,6,0.001
子图5,系列45,7,0.002
子图5,系列45,8,0.002
子图5,系列45,9,0.001
子图5,系列46,0,0.083
子图5,系列46,1,0.124
子图5,系列46,2,0.001
子图5,系列46,3,0.002
子图5,系列46,4,0.002
子图5,系列46,5,0.002
子图5,系列46,6,0.001
子图5,系列46,7,0.002
子图5,系列46,8,0.002
子图5,系列46,9,0.001
子图5,系列47（水平参考线）,-0.45,0.02
子图5,系列47（水平参考线）,9.45,0.02
子图6,系列48,0,0.03004373905
子图6,系列48,1,0.04171037854
子图6,系列48,2,0.01334546863
子图6,系列48,3,0.01062601463
子图6,系列48,4,0.01952986966
子图6,系列48,5,0.02321644915
子图6,系列48,6,0.008717680044
子图6,系列48,7,0.01202455164
子图6,系列48,8,0.008558194437
子图6,系列48,9,0.007463030489
子图6,系列49,0,0.03004373905
子图6,系列49,1,0.04171037854
子图6,系列49,2,0.01334546863
子图6,系列49,3,0.01062601463
子图6,系列49,4,0.01952986966
子图6,系列49,5,0.02321644915
子图6,系列49,6,0.008717680044
子图6,系列49,7,0.01202455164
子图6,系列49,8,0.008558194437
子图6,系列49,9,0.007463030489
子图6,系列50（水平参考线）,-0.45,0.1
子图6,系列50（水平参考线）,9.45,0.1
